t[s]	x[cm]	y[cm]
8.208744444E0	9.476094272E0	5.903141609E0
8.411688889E0	-9.604210137E0	5.097862437E0
8.638622222E0	1.006304789E1	5.926670549E0
8.837300000E0	-1.015257507E1	5.197246621E0
9.069411111E0	1.003474010E1	5.956292957E0
9.269888889E0	-1.011243570E1	5.688995975E0
9.499522222E0	1.000117384E1	5.754194581E0
9.697677778E0	-1.023421188E1	5.430939334E0
9.896244444E0	9.479144763E0	5.737061064E0
1.012833333E1	-9.797106172E0	5.536940076E0
1.032711111E1	9.798418150E0	5.758795752E0
1.055885556E1	-9.743777146E0	5.332869770E0
1.075756667E1	9.687158929E0	5.964180677E0
1.099614444E1	-9.824756650E0	5.595527582E0
1.118780000E1	9.627256803E0	5.878600003E0
1.141955556E1	-1.007028094E1	4.992519005E0
1.165123333E1	9.530501859E0	5.446095465E0
1.185248889E1	-9.573930419E0	5.155135323E0
1.208222222E1	9.972866048E0	5.783816989E0
1.228008889E1	-1.015454700E1	5.110351327E0
1.251210000E1	9.974837978E0	5.870712283E0
1.271086667E1	-1.020261754E1	5.546142416E0
1.294242222E1	9.970236808E0	5.667956598E0
1.314726667E1	-1.021444912E1	5.024770653E0
1.337293333E1	9.658851141E0	5.993803085E0
1.360447778E1	-9.773399554E0	5.304561982E0
1.380494444E1	9.278361008E0	5.828557528E0
1.403685556E1	-9.971554069E0	5.511918838E0
