t[s]	x[cm]	y[cm]
3.442852210E0	6.851340669E0	1.869502959E0
3.808011050E0	-6.977547511E0	1.770479605E0
4.204247238E0	5.706657875E0	1.087817451E0
4.607821133E0	-6.215532758E0	1.376992650E0
5.002330801E0	6.003202060E0	1.245924921E0
5.395977210E0	-6.481401914E0	1.482787261E0
5.793249309E0	5.928082476E0	1.243957845E0
6.191902624E0	-6.630657544E0	1.441293318E0
6.587102901E0	5.964658730E0	1.282501175E0
6.989899862E0	-6.068244204E0	1.493606176E0
7.381733425E0	5.699773111E0	1.350735994E0
7.778573895E0	-6.938020644E0	1.696343559E0
8.176622928E0	7.338634426E0	1.919848742E0
8.540055249E0	-7.741529340E0	2.239086145E0
8.937672652E0	7.670771326E0	2.154059333E0
9.336498619E0	-7.889801432E0	2.160032410E0
9.700189917E0	7.194296485E0	1.690555840E0
1.009685773E1	-7.246367281E0	1.988953592E0
1.049628798E1	7.041106704E0	1.799301064E0
1.089243785E1	-7.356096043E0	1.873323603E0
1.128901934E1	6.373882290E0	1.443559258E0
1.168611878E1	-6.330179209E0	1.449161620E0
1.208693025E1	5.330076419E0	1.115541865E0
1.248109461E1	-5.572098607E0	1.205913832E0
1.287871202E1	4.921836397E0	9.169239903E-1
1.327537983E1	-5.608674861E0	1.167370503E0
1.370787293E1	5.888555608E0	1.318093891E0
1.410324586E1	-7.088259811E0	1.692409408E0
1.450069061E1	5.850995816E0	1.317110353E0
1.489839434E1	-6.330179209E0	1.449161620E0
1.529506215E1	5.850012279E0	1.354670145E0
1.565944406E1	-6.939987719E0	1.771463143E0
1.605852901E1	7.338634426E0	1.919848742E0
1.645441989E1	-8.372128979E0	2.434007518E0
1.685195097E1	7.477724235E0	2.103231720E0
1.725517956E1	-7.252679588E0	1.836833531E0
1.761748964E1	6.832782693E0	1.668684797E0
1.801053177E1	-7.797107797E0	2.120904701E0
1.840832182E1	7.363158972E0	1.921235208E0
1.880611188E1	-7.699651219E0	2.003688356E0
1.920165746E1	6.151950442E0	1.522563666E0
1.959970649E1	-6.337180774E0	1.533060914E0
1.999507942E1	6.111995434E0	1.437133243E0
2.039373273E1	-7.104950501E0	1.850492813E0
2.079083218E1	6.357347058E0	1.596569572E0
2.119250691E1	-6.547996628E0	1.527540506E0
2.158787983E1	5.820165483E0	1.302915160E0
2.198817334E1	-5.810808533E0	1.268557522E0
2.237992058E1	4.670288802E0	6.905833755E-1
2.277753798E1	-5.000089931E0	1.053000452E0
2.317550069E1	4.429946838E0	8.263616895E-1
2.360540401E1	-5.236714160E0	1.046804229E0
2.400138122E1	5.477364973E0	1.232155392E0
2.440046616E1	-6.367739001E0	1.448178082E0
2.479739296E1	6.408491468E0	1.557222171E0
2.519604627E1	-7.396606448E0	1.985019441E0
2.559150552E1	7.114259212E0	1.876387724E0
2.595588743E1	-7.816648924E0	2.237119069E0
2.635281423E1	8.034566792E0	2.614612214E0
2.671883633E1	-9.155830084E0	3.141690044E0
2.711792127E1	7.814125729E0	2.420912028E0
2.747859116E1	-7.591290172E0	2.243020296E0
2.787577693E1	7.005513987E0	1.723197943E0
2.827287638E1	-7.091210424E0	1.805088784E0
2.867032113E1	5.778826846E0	1.202463902E0
2.906802486E1	-5.308196526E0	1.175238805E0
