t[s]	x[cm]	y[cm]
2.804333333E-1	6.102170531E-1	-6.748579506E-2
7.506333333E-1	-7.133465499E-1	-4.885392701E-3
1.175544444E0	6.824552760E-1	-2.840451447E-2
1.673988889E0	-6.454706097E-1	-1.681588083E-2
2.101000000E0	8.052113367E-1	-9.044605483E-3
2.565366667E0	-6.657219520E-1	3.792034857E-3
2.997666667E0	6.826335627E-1	-7.974885455E-3
3.461188889E0	-7.069377834E-1	-3.671064982E-2
3.894255556E0	8.254626791E-1	-2.965252116E-2
4.391566667E0	-6.865081543E-1	-3.688893649E-2
4.816477778E0	7.233145340E-1	-2.876108781E-2
5.312266667E0	-6.863298677E-1	-1.645930748E-2
5.743900000E0	6.817421293E-1	-1.101230305E-1
6.207800000E0	-7.678700970E-1	4.683468213E-3
6.670277778E0	6.824552760E-1	-2.840451447E-2
7.134322222E0	-7.680483837E-1	-1.574616080E-2
7.596722222E0	7.025283317E-1	-6.944205916E-2
8.093755556E0	-6.861515810E-1	3.970321528E-3
