t[s]	x[cm]	y[cm]
6.452222222E-2	-7.648843015E0	2.471712245E0
3.290555556E-1	7.502811525E0	2.448491926E0
6.269555556E-1	-7.501927177E0	2.652107075E0
9.246555556E-1	7.368398314E0	2.546012012E0
1.222700000E0	-7.626099783E0	2.447956443E0
1.489933333E0	7.436666751E0	2.499634128E0
1.789700000E0	-7.579122643E0	2.584892823E0
2.052266667E0	7.619381758E0	2.452257484E0
2.348711111E0	-7.577924131E0	2.722228706E0
2.613677778E0	7.436267247E0	2.453855500E0
2.917566667E0	-7.441387256E0	2.629472938E0
3.210055556E0	7.299730372E0	2.546611268E0
3.474977778E0	-7.395209124E0	2.674852062E0
3.772300000E0	7.346308008E0	2.637769019E0
4.041144444E0	-7.532145504E0	2.721829202E0
4.302477778E0	7.481646371E0	2.407677368E0
