t[s]	x[cm]	y[cm]
5.583700000E0	-5.351097013E0	8.355851504E-1
5.913677778E0	5.174648330E0	9.884821073E-1
6.246411111E0	-5.352317454E0	6.957365182E-1
6.548300000E0	5.209915598E0	1.023139155E0
6.840955556E0	-5.315829745E0	8.702421983E-1
7.172322222E0	5.314802072E0	1.022223825E0
7.469733333E0	-5.281477807E0	8.000127721E-1
7.804844444E0	5.174648330E0	9.884821073E-1
8.099266667E0	-5.300448579E0	8.740891119E-1
8.431500000E0	5.245949173E0	9.208151191E-1
8.762733333E0	-5.412177071E0	7.918063360E-1
9.095822222E0	5.107923239E0	1.005277469E0
9.423077778E0	-5.357402612E0	7.080705109E-1
9.754344444E0	5.025640463E0	1.117005961E0
1.005462222E1	-5.328441246E0	8.465807949E-1
1.039100000E1	5.273457490E0	8.928224524E-1
1.071513333E1	-5.384184404E0	8.193146529E-1
1.104861111E1	5.135915905E0	1.032785786E0
1.137855556E1	-5.441380612E0	6.255455602E-1
1.167462222E1	5.245464823E0	8.653141355E-1
1.200906667E1	-5.412419246E0	7.640558442E-1
1.233811111E1	5.080414922E0	1.033270135E0
1.263438889E1	-5.272698087E0	8.738469370E-1
1.296556667E1	5.217956506E0	8.933068021E-1
