t[s]	x[cm]	y[cm]
2.359888889E0	-1.158131122E1	5.393916747E0
2.689544444E0	1.107430433E1	5.142825672E0
3.020422222E0	-1.160997363E1	5.069887996E0
3.319155556E0	1.145081287E1	5.135471721E0
3.649388889E0	-1.168809366E1	5.255715407E0
3.949255556E0	1.148889295E1	5.098698211E0
4.280422222E0	-1.176490711E1	5.366689223E0
4.577477778E0	1.156309326E1	5.137431583E0
4.875688889E0	-1.154165290E1	5.445462540E0
5.205755556E0	1.126302560E1	5.169632082E0
5.505466667E0	-1.154034633E1	5.370608946E0
5.802688889E0	1.167668023E1	5.064537850E0
6.132311111E0	-1.180168062E1	5.328609139E0
6.431588889E0	1.148889295E1	5.098698211E0
6.728911111E0	-1.154165290E1	5.445462540E0
7.064288889E0	1.126302560E1	5.169632082E0
7.358044444E0	-1.176360054E1	5.291835629E0
7.656455556E0	1.159986677E1	5.175511667E0
7.986566667E0	-1.164805371E1	5.106661506E0
8.289711111E0	1.122363894E1	5.281259186E0
8.584600000E0	-1.172617374E1	5.292488917E0
8.880266667E0	1.141207950E1	5.209672028E0
