t[s]	x[cm]	y[cm]
2.953544444E0	1.013810091E1	6.095456988E0
3.187577778E0	-1.030581477E1	5.913379861E0
3.419933333E0	1.019716575E1	6.045804215E0
3.649111111E0	-1.013568021E1	6.003138305E0
3.881100000E0	1.019716575E1	6.045804215E0
4.113655556E0	-1.002611479E1	5.947155149E0
4.344166667E0	1.016845390E1	5.908487299E0
4.577022222E0	-1.016036274E1	5.979935383E0
4.815022222E0	1.015761373E1	5.851643827E0
5.075466667E0	-1.035750017E1	5.859103929E0
5.304722222E0	1.037968744E1	6.021278403E0
5.537633333E0	-1.038115314E1	5.957351822E0
5.772055556E0	1.013545794E1	6.121451238E0
6.000388889E0	-1.030719987E1	6.005727180E0
6.231122222E0	1.018340553E1	5.998480960E0
6.462866667E0	-1.016014885E1	6.004443885E0
6.694988889E0	1.018426106E1	6.096514971E0
6.959444444E0	-1.038200867E1	5.859317812E0
7.191277778E0	1.011094944E1	6.121665121E0
7.423266667E0	-1.035814182E1	5.785578421E0
7.654766667E0	1.033109820E1	6.070723173E0
7.887011111E0	-1.035643076E1	5.981646442E0
8.120411111E0	1.008622705E1	6.097370501E0
8.350155556E0	-1.028226360E1	6.054530303E0
8.582200000E0	1.020791403E1	5.998267078E0
