t[s]	dt[s]	y[cm]	dy[cm]
3.748366667E0	0.02	3.324870463E1	0.125
3.781277778E0	0.02	3.300379971E1	0.125
3.814477778E0	0.02	3.216328741E1	0.125
3.847844444E0	0.02	3.079745493E1	0.125
3.880755556E0	0.02	2.901087731E1	0.125
3.913900000E0	0.02	2.673448984E1	0.125
3.948288889E0	0.02	2.421319745E1	0.125
3.980300000E0	0.02	2.179599110E1	0.125
4.013188889E0	0.02	1.804895162E1	0.125
4.046577778E0	0.02	1.521148912E1	0.125
4.079377778E0	0.02	1.265684116E1	0.125
4.112411111E0	0.02	8.867811778E0	0.125
4.146377778E0	0.02	6.453179139E0	0.125
4.179288889E0	0.02	2.997878360E0	0.125
4.213111111E0	0.02	-8.548589429E-1	0.125
4.245844444E0	0.02	-4.761266226E0	0.125
4.278088889E0	0.02	-7.263342520E0	0.125
4.311077778E0	0.02	-1.110005359E1	0.125
4.345155556E0	0.02	-1.246239218E1	0.125
4.377600000E0	0.02	-1.503416468E1	0.125
4.410577778E0	0.02	-1.668841216E1	0.125
4.444588889E0	0.02	-1.775864775E1	0.125
4.477200000E0	0.02	-1.845376599E1	0.125
4.510277778E0	0.02	-1.892628336E1	0.125
4.543044444E0	0.02	-1.895437534E1	0.125
4.575811111E0	0.02	-1.867626982E1	0.125
4.609277778E0	0.02	-1.785614481E1	0.125
4.642311111E0	0.02	-1.707762403E1	0.125
4.675922222E0	0.02	-1.603489815E1	0.125
4.708422222E0	0.02	-1.472835535E1	0.125
4.741888889E0	0.02	-1.311561505E1	0.125
4.775355556E0	0.02	-1.122515741E1	0.125
4.808255556E0	0.02	-9.793413751E0	0.125
4.841688889E0	0.02	-7.652651432E0	0.125
4.874022222E0	0.02	-5.539884051E0	0.125
4.907322222E0	0.02	-3.704834013E0	0.125
4.940377778E0	0.02	-1.994984834E0	0.125
4.973433333E0	0.02	2.077071518E-2	0.125
5.007022222E0	0.02	1.799927924E0	0.125
5.039700000E0	0.02	3.315462303E0	0.125
5.072377778E0	0.02	5.150318252E0	0.125
5.106066667E0	0.02	5.650830556E0	0.125
5.138866667E0	0.02	7.499781018E0	0.125
5.172166667E0	0.02	8.166807274E0	0.125
5.205011111E0	0.02	9.084429338E0	0.125
5.238711111E0	0.02	9.640446292E0	0.125
5.271522222E0	0.02	1.016856535E1	0.125
5.304177778E0	0.02	1.019636620E1	0.125
5.339277778E0	0.02	1.025196790E1	0.125
5.370822222E0	0.02	9.946352662E0	0.125
5.403944444E0	0.02	9.709948411E0	0.125
5.437066667E0	0.02	9.404139087E0	0.125
5.470477778E0	0.02	8.709020849E0	0.125
5.502822222E0	0.02	7.694192863E0	0.125
5.536400000E0	0.02	6.804662781E0	0.125
5.569755556E0	0.02	5.567428013E0	0.125
5.602377778E0	0.02	4.872212730E0	0.125
5.636766667E0	0.02	3.913083484E0	0.125
5.669333333E0	0.02	2.689652095E0	0.125
5.701433333E0	0.02	1.397009722E0	0.125
5.735488889E0	0.02	9.027283446E-2	0.125
5.767900000E0	0.02	-8.968513489E-1	0.125
5.800788889E0	0.02	-2.036589060E0	0.125
5.833955556E0	0.02	-3.148817058E0	0.125
5.867333333E0	0.02	-3.941044173E0	0.125
5.900388889E0	0.02	-4.872469616E0	0.125
5.933177778E0	0.02	-5.873203089E0	0.125
5.966544444E0	0.02	-6.610119643E0	0.125
5.999355556E0	0.02	-7.152139129E0	0.125
6.032466667E0	0.02	-7.555445510E0	0.125
6.065577778E0	0.02	-7.889055683E0	0.125
6.098688889E0	0.02	-8.014159497E0	0.125
6.131800000E0	0.02	-8.167064160E0	0.125
6.165022222E0	0.02	-8.041960345E0	0.125
6.198355556E0	0.02	-7.889055683E0	0.125
6.231200000E0	0.02	-7.611047206E0	0.125
6.264555556E0	0.02	-7.291337457E0	0.125
6.298400000E0	0.02	-6.679621762E0	0.125
6.330611111E0	0.02	-6.137505232E0	0.125
6.364055556E0	0.02	-5.484185311E0	0.125
6.396788889E0	0.02	-4.788872984E0	0.125
6.429977778E0	0.02	-3.996645869E0	0.125
6.463011111E0	0.02	-3.190615375E0	0.125
6.496533333E0	0.02	-2.342495430E0	0.125
6.529188889E0	0.02	-1.549880136E0	0.125
6.562433333E0	0.02	-7.714563997E-1	0.125
6.595355556E0	0.02	-6.933087684E-3	0.125
6.628277778E0	0.02	7.716847379E-1	0.125
6.661511111E0	0.02	1.452514372E0	0.125
6.695200000E0	0.02	2.189333881E0	0.125
6.727988889E0	0.02	2.773151683E0	0.125
6.761222222E0	0.02	3.273566942E0	0.125
