t[s]	dt[s]	y[cm]	dy[cm]
3.774400000E0	0.02	2.327045692E1	0.125
3.807144444E0	0.02	2.307247180E1	0.125
3.840022222E0	0.02	2.252193250E1	0.125
3.873188889E0	0.02	2.155402234E1	0.125
3.906044444E0	0.02	2.034317401E1	0.125
3.939311111E0	0.02	1.884597148E1	0.125
3.972577778E0	0.02	1.684241419E1	0.125
4.006111111E0	0.02	1.488288775E1	0.125
4.038700000E0	0.02	1.257126823E1	0.125
4.072122222E0	0.02	1.045778752E1	0.125
4.104955556E0	0.02	7.815782935E0	0.125
4.138433333E0	0.02	5.724163951E0	0.125
4.171455556E0	0.02	3.104482189E0	0.125
4.204800000E0	0.02	1.100771202E0	0.125
4.237577778E0	0.02	-1.959833838E0	0.125
4.271111111E0	0.02	-4.403238509E0	0.125
4.304088889E0	0.02	-6.318887799E0	0.125
4.336744444E0	0.02	-8.322445086E0	0.125
4.369788889E0	0.02	-1.019375613E1	0.125
4.403066667E0	0.02	-1.173452842E1	0.125
4.436022222E0	0.02	-1.294553044E1	0.125
4.469133333E0	0.02	-1.387048565E1	0.125
4.502577778E0	0.02	-1.455296379E1	0.125
4.535222222E0	0.02	-1.492737970E1	0.125
4.568866667E0	0.02	-1.505947224E1	0.125
4.601611111E0	0.02	-1.499342597E1	0.125
4.634855556E0	0.02	-1.466304091E1	0.125
4.668733333E0	0.02	-1.404676274E1	0.125
4.701911111E0	0.02	-1.316599208E1	0.125
4.733711111E0	0.02	-1.228552881E1	0.125
4.768366667E0	0.02	-1.114011197E1	0.125
4.800311111E0	0.02	-9.907248219E0	0.125
4.833333333E0	0.02	-8.586476476E0	0.125
4.866477778E0	0.02	-7.067258517E0	0.125
4.899844444E0	0.02	-5.570209682E0	0.125
4.932377778E0	0.02	-4.204945993E0	0.125
4.965633333E0	0.02	-2.575804613E0	0.125
4.998888889E0	0.02	-1.188832899E0	0.125
5.032344444E0	0.02	4.181393577E-1	0.125
5.065344444E0	0.02	1.783403047E0	0.125
5.097977778E0	0.02	3.016266794E0	0.125
5.131411111E0	0.02	4.271453363E0	0.125
5.164355556E0	0.02	5.239978321E0	0.125
5.197300000E0	0.02	6.032379888E0	0.125
5.231655556E0	0.02	6.935012274E0	0.125
5.263933333E0	0.02	7.397336179E0	0.125
5.296744444E0	0.02	8.057952599E0	0.125
5.329555556E0	0.02	8.300122264E0	0.125
5.363377778E0	0.02	8.454230232E0	0.125
5.396222222E0	0.02	8.476245656E0	0.125
5.429188889E0	0.02	8.388337659E0	0.125
5.462155556E0	0.02	8.101829748E0	0.125
5.495888889E0	0.02	7.749582964E0	0.125
5.529155556E0	0.02	7.155166514E0	0.125
5.561811111E0	0.02	6.142918106E0	0.125
5.594466667E0	0.02	6.054856410E0	0.125
5.627888889E0	0.02	4.865869812E0	0.125
5.662466667E0	0.02	3.919052879E0	0.125
5.693933333E0	0.02	2.994405069E0	0.125
5.726755556E0	0.02	1.871618442E0	0.125
5.759977778E0	0.02	9.908477813E-1	0.125
5.793200000E0	0.02	2.232282235E-2	0.125
5.826422222E0	0.02	-1.012863205E0	0.125
5.859833333E0	0.02	-1.761387623E0	0.125
5.895177778E0	0.02	-2.729912582E0	0.125
5.925988889E0	0.02	-3.434406151E0	0.125
5.959677778E0	0.02	-4.248976841E0	0.125
5.991933333E0	0.02	-4.777347018E0	0.125
6.025066667E0	0.02	-5.349901743E0	0.125
6.058077778E0	0.02	-5.834548470E0	0.125
6.091377778E0	0.02	-6.208503280E0	0.125
6.124677778E0	0.02	-6.494703793E0	0.125
6.157400000E0	0.02	-6.649580257E0	0.125
6.190711111E0	0.02	-6.759196280E0	0.125
6.224988889E0	0.02	-6.560750065E0	0.125
6.257922222E0	0.02	-6.494703793E0	0.125
6.289955556E0	0.02	-6.362611249E0	0.125
6.323255556E0	0.02	-6.032687286E0	0.125
6.356055556E0	0.02	-5.636409653E0	0.125
6.389511111E0	0.02	-5.196101173E0	0.125
6.422500000E0	0.02	-4.623700147E0	0.125
6.455744444E0	0.02	-4.117191695E0	0.125
6.489633333E0	0.02	-3.522775246E0	0.125
6.521822222E0	0.02	-2.840450800E0	0.125
6.554877778E0	0.02	-2.179526981E0	0.125
6.588100000E0	0.02	-1.475033411E0	0.125
6.621488889E0	0.02	-9.246478100E-1	0.125
6.654544444E0	0.02	-1.100771202E-1	0.125
6.687222222E0	0.02	4.403084809E-1	0.125
6.720200000E0	0.02	1.101078601E0	0.125
6.753366667E0	0.02	1.717510474E0	0.125
6.786533333E0	0.02	2.201849803E0	0.125
6.819700000E0	0.02	2.641850886E0	0.125
6.852866667E0	0.02	3.059990243E0	0.125
6.886033333E0	0.02	3.412544426E0	0.125
6.918988889E0	0.02	3.721067761E0	0.125
6.952266667E0	0.02	3.875175730E0	0.125
6.985333333E0	0.02	4.007114575E0	0.125
7.018400000E0	0.02	4.029129999E0	0.125
7.051644444E0	0.02	3.941068303E0	0.125
7.084600000E0	0.02	3.875022031E0	0.125
7.117322222E0	0.02	3.720914062E0	0.125
7.150577778E0	0.02	3.478590699E0	0.125
7.183833333E0	0.02	3.236421034E0	0.125
7.216800000E0	0.02	2.972235945E0	0.125
7.249900000E0	0.02	2.575958313E0	0.125
7.283844444E0	0.02	2.201696104E0	0.125
7.317044444E0	0.02	1.739372199E0	0.125
7.349344444E0	0.02	1.497356233E0	0.125
7.382666667E0	0.02	9.471243315E-1	0.125
7.415611111E0	0.02	4.627850024E-1	0.125
7.448933333E0	0.02	-1.099234211E-1	0.125
7.482255556E0	0.02	-5.282164780E-1	0.125
7.515288889E0	0.02	-9.465095349E-1	0.125
7.548066667E0	0.02	-1.342787168E0	0.125
7.581022222E0	0.02	-1.761080225E0	0.125
7.613977778E0	0.02	-2.113327009E0	0.125
7.647122222E0	0.02	-2.421696645E0	0.125
7.680988889E0	0.02	-2.751928006E0	0.125
7.713844444E0	0.02	-2.928051398E0	0.125
7.747077778E0	0.02	-3.038128518E0	0.125
7.779866667E0	0.02	-3.170221063E0	0.125
7.812900000E0	0.02	-3.302313607E0	0.125
7.845933333E0	0.02	-3.390375303E0	0.125
7.879188889E0	0.02	-3.368359879E0	0.125
7.912444444E0	0.02	-3.302313607E0	0.125
7.945388889E0	0.02	-3.148205639E0	0.125
7.978477778E0	0.02	-3.016113094E0	0.125
8.011566667E0	0.02	-2.839836003E0	0.125
8.044655556E0	0.02	-2.553635490E0	0.125
8.078655556E0	0.02	-2.421542946E0	0.125
8.111288889E0	0.02	-2.069757259E0	0.125
8.144611111E0	0.02	-1.805264772E0	0.125
8.177022222E0	0.02	-1.453171686E0	0.125
8.210333333E0	0.02	-1.189140297E0	0.125
8.243644444E0	0.02	-7.928626640E-1	0.125
8.276333333E0	0.02	-5.283701771E-1	0.125
8.310766667E0	0.02	-1.981388164E-1	0.125
8.343288889E0	0.02	1.100771202E-1	0.125
8.375666667E0	0.02	4.403084809E-1	0.125
8.408811111E0	0.02	6.827855438E-1	0.125
8.442122222E0	0.02	1.035032329E0	0.125
8.475044444E0	0.02	1.189140297E0	0.125
8.508277778E0	0.02	1.408833440E0	0.125
8.541511111E0	0.02	1.563248806E0	0.125
8.574266667E0	0.02	1.717356775E0	0.125
8.607588889E0	0.02	1.827587594E0	0.125
8.640911111E0	0.02	1.981695563E0	0.125
8.674233333E0	0.02	1.981695563E0	0.125
8.706755556E0	0.02	1.959526439E0	0.125
8.740033333E0	0.02	1.893480167E0	0.125
8.772722222E0	0.02	1.805572170E0	0.125
8.807088889E0	0.02	1.739525898E0	0.125
8.839255556E0	0.02	1.651464202E0	0.125
8.872733333E0	0.02	1.453325385E0	0.125
8.905511111E0	0.02	1.321232841E0	0.125
8.938744444E0	0.02	1.211155721E0	0.125
8.971777778E0	0.02	9.689860564E-1	0.125
9.004933333E0	0.02	7.268163919E-1	0.125
9.038422222E0	0.02	4.846467273E-1	0.125
9.071122222E0	0.02	1.984462147E-1	0.125
9.104411111E0	0.02	2.232282235E-2	0.125
9.137400000E0	0.02	-2.200005413E-1	0.125
9.170277778E0	0.02	-4.621702058E-1	0.125
9.204722222E0	0.02	-6.826318446E-1	0.125
9.236611111E0	0.02	-7.927089648E-1	0.125
9.270844444E0	0.02	-9.249552083E-1	0.125
9.302977778E0	0.02	-1.079063177E0	0.125
9.336722222E0	0.02	-1.167124873E0	0.125
9.369666667E0	0.02	-1.276894595E0	0.125
9.403311111E0	0.02	-1.497048835E0	0.125
9.435388889E0	0.02	-1.585110531E0	0.125
9.468411111E0	0.02	-1.607125955E0	0.125
9.502688889E0	0.02	-1.563095107E0	0.125
9.540100000E0	0.02	-1.541079683E0	0.125
9.567966667E0	0.02	-1.519064259E0	0.125
9.600900000E0	0.02	-1.453017987E0	0.125
9.633677778E0	0.02	-1.408987139E0	0.125
9.666900000E0	0.02	-1.320925443E0	0.125
9.701622222E0	0.02	-1.232863747E0	0.125
9.733477778E0	0.02	-1.100771202E0	0.125
9.766233333E0	0.02	-9.685249589E-1	0.125
9.799400000E0	0.02	-8.804632627E-1	0.125
9.832566667E0	0.02	-7.043398703E-1	0.125
9.865733333E0	0.02	-5.282164780E-1	0.125
9.898444444E0	0.02	-3.961239337E-1	0.125
9.932444444E0	0.02	-2.420159654E-1	0.125
9.965111111E0	0.02	-8.790799704E-2	0.125
9.998133333E0	0.02	8.821539534E-2	0.125
1.003131111E1	0.02	1.982925156E-1	0.125
1.006448889E1	0.02	3.083696358E-1	0.125
1.009766667E1	0.02	4.184467560E-1	0.125
1.013072222E1	0.02	5.505393003E-1	0.125
1.016377778E1	0.02	6.386009965E-1	0.125
1.019683333E1	0.02	7.486781167E-1	0.125
1.023020000E1	0.02	8.147243889E-1	0.125
1.026324444E1	0.02	8.807706610E-1	0.125
1.029601111E1	0.02	9.026323859E-1	0.125
1.032924444E1	0.02	9.246478100E-1	0.125
1.036278889E1	0.02	8.806169619E-1	0.125
1.039531111E1	0.02	8.586015378E-1	0.125
1.042850000E1	0.02	8.365861138E-1	0.125
1.046208889E1	0.02	8.145706897E-1	0.125
1.049488889E1	0.02	7.925552657E-1	0.125
1.052848889E1	0.02	6.824781455E-1	0.125
1.056127778E1	0.02	5.944164493E-1	0.125
1.059480000E1	0.02	5.283701771E-1	0.125
1.062753333E1	0.02	4.843393290E-1	0.125
1.066010000E1	0.02	3.962776328E-1	0.125
1.069340000E1	0.02	2.862005126E-1	0.125
1.072660000E1	0.02	2.641850886E-1	0.125
1.075991111E1	0.02	1.541079683E-1	0.125
1.079337778E1	0.02	-2.201542405E-2	0.125
