t[s]	dt[s]	y[cm]	dy[cm]
3.478566667E0	0.02	1.767640740E1	0.125
3.511177778E0	0.02	1.747794308E1	0.125
3.544611111E0	0.02	1.701516720E1	0.125
3.577400000E0	0.02	1.622234788E1	0.125
3.610744444E0	0.02	1.536333534E1	0.125
3.644611111E0	0.02	1.397569970E1	0.125
3.677377778E0	0.02	1.258806405E1	0.125
3.710144444E0	0.02	1.089183428E1	0.125
3.743477778E0	0.02	9.372273516E0	0.125
3.775955556E0	0.02	7.764147590E0	0.125
3.809100000E0	0.02	5.561320674E0	0.125
3.842100000E0	0.02	4.041529255E0	0.125
3.875266667E0	0.02	1.816907034E0	0.125
3.908311111E0	0.02	-2.095968520E-1	0.125
3.942300000E0	0.02	-2.015495126E0	0.125
3.974800000E0	0.02	-3.777802791E0	0.125
4.008044444E0	0.02	-5.231516321E0	0.125
4.041144444E0	0.02	-6.861437552E0	0.125
4.074011111E0	0.02	-8.337292374E0	0.125
4.107266667E0	0.02	-9.416679870E0	0.125
4.140522222E0	0.02	-1.029771837E1	0.125
4.173777778E0	0.02	-1.104660110E1	0.125
4.207988889E0	0.02	-1.159725017E1	0.125
4.239633333E0	0.02	-1.186156172E1	0.125
4.273044444E0	0.02	-1.197180686E1	0.125
4.305900000E0	0.02	-1.194978090E1	0.125
4.339944444E0	0.02	-1.168546934E1	0.125
4.372733333E0	0.02	-1.126697606E1	0.125
4.405522222E0	0.02	-1.056202992E1	0.125
4.439711111E0	0.02	-9.746953980E0	0.125
4.472588889E0	0.02	-8.954019327E0	0.125
4.504844444E0	0.02	-7.984992302E0	0.125
4.538288889E0	0.02	-6.905489478E0	0.125
4.570888889E0	0.02	-5.628098976E0	0.125
4.604088889E0	0.02	-4.504774885E0	0.125
4.637288889E0	0.02	-3.315026919E0	0.125
4.671222222E0	0.02	-2.191818156E0	0.125
4.704377778E0	0.02	-8.482344382E-1	0.125
4.736155556E0	0.02	2.529483623E-1	0.125
4.769222222E0	0.02	1.222436702E0	0.125
4.802777778E0	0.02	2.235630981E0	0.125
4.835433333E0	0.02	3.226799297E0	0.125
4.868833333E0	0.02	4.041759913E0	0.125
4.902444444E0	0.02	4.834694566E0	0.125
4.934766667E0	0.02	5.385228302E0	0.125
4.968211111E0	0.02	5.936108024E0	0.125
5.001833333E0	0.02	6.486757089E0	0.125
5.034544444E0	0.02	6.817146527E0	0.125
5.068133333E0	0.02	6.993238899E0	0.125
5.100755556E0	0.02	7.059201458E0	0.125
5.134366667E0	0.02	6.927045683E0	0.125
5.166877778E0	0.02	6.750837982E0	0.125
5.201177778E0	0.02	6.420563872E0	0.125
5.233833333E0	0.02	5.935762038E0	0.125
5.267233333E0	0.02	5.384997644E0	0.125
5.299222222E0	0.02	4.988530318E0	0.125
5.332822222E0	0.02	4.415855291E0	0.125
5.366255556E0	0.02	3.578868713E0	0.125
5.398966667E0	0.02	2.720202158E0	0.125
5.432011111E0	0.02	1.970742786E0	0.125
5.465222222E0	0.02	1.178269448E0	0.125
5.498066667E0	0.02	4.073607578E-1	0.125
5.531044444E0	0.02	-3.416372988E-1	0.125
5.565555556E0	0.02	-1.090520027E0	0.125
5.597755556E0	0.02	-1.817376792E0	0.125
5.631488889E0	0.02	-2.500527618E0	0.125
5.664100000E0	0.02	-3.095228608E0	0.125
5.696366667E0	0.02	-3.579799785E0	0.125
5.729366667E0	0.02	-4.064024975E0	0.125
5.762366667E0	0.02	-4.592763406E0	0.125
5.795644444E0	0.02	-4.967320099E0	0.125
5.828477778E0	0.02	-5.231631650E0	0.125
5.862055556E0	0.02	-5.319735500E0	0.125
5.894800000E0	0.02	-5.407839351E0	0.125
5.927988889E0	0.02	-5.451891276E0	0.125
5.961288889E0	0.02	-5.319389514E0	0.125
5.994811111E0	0.02	-5.253311626E0	0.125
6.027722222E0	0.02	-5.033167329E0	0.125
6.060633333E0	0.02	-4.746945144E0	0.125
6.093433333E0	0.02	-4.394529743E0	0.125
6.126822222E0	0.02	-4.041999013E0	0.125
6.160033333E0	0.02	-3.535401873E0	0.125
6.193455556E0	0.02	-3.006778771E0	0.125
6.226400000E0	0.02	-2.566259520E0	0.125
6.260166667E0	0.02	-1.993584493E0	0.125
6.292077778E0	0.02	-1.442935428E0	0.125
6.325277778E0	0.02	-8.042978417E-1	0.125
6.359566667E0	0.02	-4.516517830E-1	0.125
6.391855556E0	0.02	1.871011320E-1	0.125
6.424866667E0	0.02	6.716723088E-1	0.125
6.458277778E0	0.02	1.222206045E0	0.125
6.490833333E0	0.02	1.662840625E0	0.125
6.524900000E0	0.02	2.081103257E0	0.125
6.557144444E0	0.02	2.345414808E0	0.125
6.590344444E0	0.02	2.697830209E0	0.125
6.623966667E0	0.02	3.006193685E0	0.125
6.656577778E0	0.02	3.204658006E0	0.125
6.690155556E0	0.02	3.336813782E0	0.125
6.722677778E0	0.02	3.402891669E0	0.125
6.755744444E0	0.02	3.424917632E0	0.125
6.788811111E0	0.02	3.336813782E0	0.125
6.822088889E0	0.02	3.292646528E0	0.125
6.855366667E0	0.02	3.116438827E0	0.125
6.888644444E0	0.02	2.896179201E0	0.125
6.921277778E0	0.02	2.675919575E0	0.125
6.955622222E0	0.02	2.521737837E0	0.125
6.987533333E0	0.02	2.125270511E0	0.125
7.020577778E0	0.02	1.794881072E0	0.125
7.053622222E0	0.02	1.464491633E0	0.125
7.087444444E0	0.02	1.045883015E0	0.125
7.119966667E0	0.02	6.936982714E-1	0.125
7.152777778E0	0.02	2.534096772E-1	0.125
7.186033333E0	0.02	-9.889039543E-2	0.125
7.218944444E0	0.02	-5.834615723E-1	0.125
7.252344444E0	0.02	-8.258624894E-1	0.125
7.286444444E0	0.02	-1.178277891E0	0.125
7.318422222E0	0.02	-1.508667330E0	0.125
7.351588889E0	0.02	-1.728926955E0	0.125
7.384755556E0	0.02	-2.037636418E0	0.125
7.417666667E0	0.02	-2.213844118E0	0.125
7.450833333E0	0.02	-2.301947969E0	0.125
7.484444444E0	0.02	-2.456129707E0	0.125
7.517344444E0	0.02	-2.544233557E0	0.125
7.550455556E0	0.02	-2.654363370E0	0.125
7.583566667E0	0.02	-2.698415295E0	0.125
7.616933333E0	0.02	-2.632337408E0	0.125
7.649933333E0	0.02	-2.522207595E0	0.125
7.683411111E0	0.02	-2.390051819E0	0.125
7.715977778E0	0.02	-2.323973931E0	0.125
7.749600000E0	0.02	-2.191818156E0	0.125
7.782588889E0	0.02	-1.993469164E0	0.125
7.815577778E0	0.02	-1.729042284E0	0.125
7.848288889E0	0.02	-1.530923950E0	0.125
7.881844444E0	0.02	-1.244701765E0	0.125
7.914500000E0	0.02	-1.024326810E0	0.125
7.947711111E0	0.02	-7.159633340E-1	0.125
7.981144444E0	0.02	-4.296258204E-1	0.125
8.014300000E0	0.02	-1.653142694E-1	0.125
8.046900000E0	0.02	5.494535648E-2	0.125
8.080588889E0	0.02	3.412828701E-1	0.125
8.113266667E0	0.02	5.615424959E-1	0.125
8.146988889E0	0.02	9.140732260E-1	0.125
8.180711111E0	0.02	1.024087710E0	0.125
8.212566667E0	0.02	1.178269448E0	0.125
8.246111111E0	0.02	1.354477149E0	0.125
8.278766667E0	0.02	1.442350342E0	0.125
8.312555556E0	0.02	1.508428230E0	0.125
8.345133333E0	0.02	1.640584005E0	0.125
8.378222222E0	0.02	1.684635930E0	0.125
8.411311111E0	0.02	1.662609968E0	0.125
8.444766667E0	0.02	1.618558043E0	0.125
8.477755556E0	0.02	1.574506117E0	0.125
8.512022222E0	0.02	1.552480155E0	0.125
8.544022222E0	0.02	1.464376304E0	0.125
8.576555556E0	0.02	1.354246492E0	0.125
8.609800000E0	0.02	1.222090716E0	0.125
8.642788889E0	0.02	1.111960903E0	0.125
8.675777778E0	0.02	9.577791650E-1	0.125
8.708933333E0	0.02	7.375195391E-1	0.125
8.742588889E0	0.02	5.613118385E-1	0.125
8.775355556E0	0.02	4.072454291E-1	0.125
8.808866667E0	0.02	1.869858033E-1	0.125
8.841544444E0	0.02	-7.732574775E-2	0.125
8.874822222E0	0.02	-2.094815233E-1	0.125
8.907611111E0	0.02	-3.636632613E-1	0.125
8.941355556E0	0.02	-4.958190368E-1	0.125
8.974511111E0	0.02	-7.159633340E-1	0.125
9.007277778E0	0.02	-8.260931469E-1	0.125
9.040766667E0	0.02	-9.141969972E-1	0.125
9.073522222E0	0.02	-1.024326810E0	0.125
9.106577778E0	0.02	-1.134456623E0	0.125
9.139744444E0	0.02	-1.200649840E0	0.125
9.172722222E0	0.02	-1.266727727E0	0.125
9.206100000E0	0.02	-1.310894981E0	0.125
9.238500000E0	0.02	-1.376972869E0	0.125
9.271833333E0	0.02	-1.310894981E0	0.125
9.305000000E0	0.02	-1.222791131E0	0.125
9.338888889E0	0.02	-1.222791131E0	0.125
9.371844444E0	0.02	-1.178739206E0	0.125
9.404322222E0	0.02	-1.068609393E0	0.125
9.439188889E0	0.02	-9.805055424E-1	0.125
9.471244444E0	0.02	-9.144276547E-1	0.125
9.503688889E0	0.02	-7.602459166E-1	0.125
9.536955556E0	0.02	-6.280901411E-1	0.125
9.570055556E0	0.02	-5.398709620E-1	0.125
9.603000000E0	0.02	-3.636632613E-1	0.125
9.636111111E0	0.02	-2.535334484E-1	0.125
9.669333333E0	0.02	-9.935171033E-2	0.125
9.703877778E0	0.02	-1.124785999E-2	0.125
9.735788889E0	0.02	1.209079155E-1	0.125
9.768600000E0	0.02	2.090117658E-1	0.125
9.801766667E0	0.02	3.411675414E-1	0.125
9.834733333E0	0.02	4.512973543E-1	0.125
9.867700000E0	0.02	5.173752420E-1	0.125
9.900844444E0	0.02	6.054790924E-1	0.125
9.934344444E0	0.02	6.715569801E-1	0.125
9.967844444E0	0.02	7.596608305E-1	0.125
1.000091111E1	0.02	7.816867930E-1	0.125
1.003327778E1	0.02	8.037127556E-1	0.125
1.006736667E1	0.02	8.257387182E-1	0.125
1.009900000E1	0.02	8.035974269E-1	0.125
1.013272222E1	0.02	7.815714643E-1	0.125
1.016644444E1	0.02	7.375195391E-1	0.125
1.019866667E1	0.02	6.934676140E-1	0.125
1.023185556E1	0.02	6.713263227E-1	0.125
1.026504444E1	0.02	5.832224723E-1	0.125
1.029803333E1	0.02	5.392858759E-1	0.125
1.033132222E1	0.02	3.630781752E-1	0.125
1.036461111E1	0.02	3.410522126E-1	0.125
1.039730000E1	0.02	3.190262500E-1	0.125
1.043058889E1	0.02	2.529483623E-1	0.125
1.046375556E1	0.02	2.088964371E-1	0.125
1.049656667E1	0.02	1.066277387E-2	0.125
