t[s]	dt[s]	y[cm]	dy[cm]
2.448255556E0	0.02	1.197896133E1	0.125
2.482066667E0	0.02	1.184970661E1	0.125
2.514888889E0	0.02	1.135853867E1	0.125
2.547522222E0	0.02	1.073658153E1	0.125
2.580455556E0	0.02	9.780096586E0	0.125
2.613388889E0	0.02	8.746058812E0	0.125
2.646488889E0	0.02	7.582766315E0	0.125
2.679588889E0	0.02	6.416404867E0	0.125
2.712877778E0	0.02	5.044770340E0	0.125
2.745777778E0	0.02	3.596350218E0	0.125
2.779677778E0	0.02	2.327352230E0	0.125
2.812000000E0	0.02	8.781648700E-1	0.125
2.844922222E0	0.02	-3.383639910E-1	0.125
2.878611111E0	0.02	-1.760933169E0	0.125
2.911388889E0	0.02	-2.975927553E0	0.125
2.944366667E0	0.02	-4.113369105E0	0.125
2.977500000E0	0.02	-4.813646317E0	0.125
3.010633333E0	0.02	-5.718429369E0	0.125
3.043655556E0	0.02	-6.338852034E0	0.125
3.076888889E0	0.02	-6.649830604E0	0.125
3.110122222E0	0.02	-6.934190992E0	0.125
3.143133333E0	0.02	-7.399507991E0	0.125
3.176711111E0	0.02	-7.606315546E0	0.125
3.209200000E0	0.02	-7.296871451E0	0.125
3.242800000E0	0.02	-6.987427357E0	0.125
3.275555556E0	0.02	-6.676448787E0	0.125
3.309477778E0	0.02	-6.157895423E0	0.125
3.341566667E0	0.02	-5.873535036E0	0.125
3.374722222E0	0.02	-5.070621284E0	0.125
3.407877778E0	0.02	-4.347562080E0	0.125
3.441411111E0	0.02	-3.727139416E0	0.125
3.474322222E0	0.02	-2.848207308E0	0.125
3.508566667E0	0.02	-1.812635057E0	0.125
3.540811111E0	0.02	-1.164059734E0	0.125
3.573700000E0	0.02	-3.626804591E-1	0.125
3.606466667E0	0.02	3.102113323E-1	0.125
3.640266667E0	0.02	9.823358855E-1	0.125
3.674066667E0	0.02	1.527507431E0	0.125
3.705844444E0	0.02	2.199631985E0	0.125
3.740488889E0	0.02	2.767585522E0	0.125
3.771966667E0	0.02	3.077796855E0	0.125
3.805200000E0	0.02	3.518030147E0	0.125
3.838433333E0	0.02	3.726372178E0	0.125
3.871266667E0	0.02	3.829775955E0	0.125
3.904100000E0	0.02	3.983347145E0	0.125
3.937633333E0	0.02	4.035816272E0	0.125
3.970877778E0	0.02	3.880710606E0	0.125
4.004122222E0	0.02	3.673903051E0	0.125
4.036966667E0	0.02	3.415393607E0	0.125
4.070700000E0	0.02	3.208586053E0	0.125
4.103155556E0	0.02	2.794203705E0	0.125
4.136244444E0	0.02	2.432290484E0	0.125
4.169877778E0	0.02	1.992824430E0	0.125
4.203344444E0	0.02	1.471969352E0	0.125
4.235400000E0	0.02	9.549504649E-1	0.125
4.268411111E0	0.02	5.930372439E-1	0.125
4.301566667E0	0.02	-2.585094436E-2	0.125
4.335255556E0	0.02	-4.136151097E-1	0.125
4.367944444E0	0.02	-9.078520049E-1	0.125
4.400944444E0	0.02	-1.320699876E0	0.125
4.434055556E0	0.02	-1.810333343E0	0.125
4.467600000E0	0.02	-1.991289954E0	0.125
4.500400000E0	0.02	-2.301501286E0	0.125
4.534611111E0	0.02	-2.534159785E0	0.125
4.566444444E0	0.02	-2.611712618E0	0.125
4.599788889E0	0.02	-2.715116395E0	0.125
4.632644444E0	0.02	-2.792669229E0	0.125
4.666422222E0	0.02	-2.792669229E0	0.125
4.698688889E0	0.02	-2.742501816E0	0.125
4.732033333E0	0.02	-2.613247094E0	0.125
4.765200000E0	0.02	-2.509843317E0	0.125
4.798366667E0	0.02	-2.328886706E0	0.125
4.831400000E0	0.02	-2.173781040E0	0.125
4.864433333E0	0.02	-1.941122541E0	0.125
4.897466667E0	0.02	-1.500122011E0	0.125
4.930844444E0	0.02	-1.319165400E0	0.125
4.963788889E0	0.02	-9.572521793E-1	0.125
4.997222222E0	0.02	-6.728917914E-1	0.125
5.030111111E0	0.02	-3.877641653E-1	0.125
5.063133333E0	0.02	-1.034037774E-1	0.125
5.096333333E0	0.02	2.052730786E-1	0.125
5.129533333E0	0.02	5.170188871E-1	0.125
5.162566667E0	0.02	7.238264420E-1	0.125
5.195322222E0	0.02	8.789321081E-1	0.125
5.231811111E0	0.02	1.087274139E0	0.125
5.263544444E0	0.02	1.242379805E0	0.125
5.295688889E0	0.02	1.397485471E0	0.125
5.329355556E0	0.02	1.423336416E0	0.125
5.363588889E0	0.02	1.499354773E0	0.125
5.395544444E0	0.02	1.525205717E0	0.125
5.429566667E0	0.02	1.551056661E0	0.125
5.461388889E0	0.02	1.473503828E0	0.125
5.493800000E0	0.02	1.395950995E0	0.125
5.527266667E0	0.02	1.214994385E0	0.125
5.560022222E0	0.02	1.189143440E0	0.125
5.592922222E0	0.02	1.059888719E0	0.125
5.625955556E0	0.02	8.021465131E-1	0.125
5.659322222E0	0.02	5.953389583E-1	0.125
5.692188889E0	0.02	5.177861252E-1	0.125
5.725055556E0	0.02	3.368295147E-1	0.125
5.758477778E0	0.02	1.041710155E-1	0.125
5.792388889E0	0.02	-5.093465059E-2	0.125
5.824722222E0	0.02	-1.284874837E-1	0.125
5.858111111E0	0.02	-3.634476972E-1	0.125
5.891255556E0	0.02	-5.444043077E-1	0.125
5.923811111E0	0.02	-6.728917914E-1	0.125
5.956866667E0	0.02	-7.762955688E-1	0.125
5.990400000E0	0.02	-7.980773058E-1	0.125
6.023166667E0	0.02	-8.469241947E-1	0.125
6.056633333E0	0.02	-8.632064909E-1	0.125
6.089911111E0	0.02	-8.794887872E-1	0.125
6.122455556E0	0.02	-8.794887872E-1	0.125
6.155566667E0	0.02	-7.985605531E-1	0.125
6.188677778E0	0.02	-7.822782568E-1	0.125
6.221788889E0	0.02	-7.334313680E-1	0.125
6.255700000E0	0.02	-6.525031339E-1	0.125
6.288488889E0	0.02	-6.199385414E-1	0.125
6.321166667E0	0.02	-5.217615164E-1	0.125
6.354100000E0	0.02	-4.398667878E-1	0.125
6.387355556E0	0.02	-3.421730101E-1	0.125
6.420411111E0	0.02	-1.779003056E-1	0.125
6.453466667E0	0.02	-1.290534168E-1	0.125
6.486833333E0	0.02	-8.020652794E-2	0.125
6.519988889E0	0.02	5.005184226E-2	0.125
6.552855556E0	0.02	9.793223654E-2	0.125
6.585922222E0	0.02	1.793437179E-1	0.125
6.619622222E0	0.02	2.119083105E-1	0.125
6.652711111E0	0.02	2.617216938E-1	0.125
6.685466667E0	0.02	3.105685827E-1	0.125
6.718555556E0	0.02	3.594154715E-1	0.125
6.752344444E0	0.02	3.431331752E-1	0.125
6.785211111E0	0.02	3.105685827E-1	0.125
6.818377778E0	0.02	3.105685827E-1	0.125
6.850933333E0	0.02	3.100853354E-1	0.125
6.884166667E0	0.02	3.100853354E-1	0.125
6.917400000E0	0.02	2.928365446E-1	0.125
6.950233333E0	0.02	2.942862864E-1	0.125
6.983266667E0	0.02	2.947695337E-1	0.125
7.016655556E0	0.02	2.622049411E-1	0.125
7.049833333E0	0.02	2.133580523E-1	0.125
7.082700000E0	0.02	1.798269652E-1	0.125
7.115566667E0	0.02	1.472623726E-1	0.125
7.149333333E0	0.02	1.319465709E-1	0.125
7.181855556E0	0.02	3.425279326E-2	0.125
7.215111111E0	0.02	1.748724971E-2	0.125
7.248511111E0	0.02	-4.860842993E-2	0.125
7.281766667E0	0.02	-8.117302248E-2	0.125
7.314466667E0	0.02	-9.745531876E-2	0.125
7.347333333E0	0.02	-1.463022076E-1	0.125
7.381055556E0	0.02	-9.648882421E-2	0.125
7.413944444E0	0.02	-6.392423166E-2	0.125
7.447288889E0	0.02	-4.764193539E-2	0.125
7.481166667E0	0.02	-4.860842993E-2	0.125
7.513000000E0	0.02	-3.232613366E-2	0.125
