t[s]	dt[s]	y[cm]	dy[cm]
3.389188889E0	0.02	2.340687177E1	0.125
3.422633333E0	0.02	2.311978386E1	0.125
3.455722222E0	0.02	2.223242123E1	0.125
3.488811111E0	0.02	2.092747618E1	0.125
3.522177778E0	0.02	1.923104762E1	0.125
3.555044444E0	0.02	1.735192676E1	0.125
3.587911111E0	0.02	1.515961908E1	0.125
3.621488889E0	0.02	1.288901471E1	0.125
3.654000000E0	0.02	1.048791582E1	0.125
3.687188889E0	0.02	8.034619139E0	0.125
3.720377778E0	0.02	5.007146634E0	0.125
3.753566667E0	0.02	2.057970833E0	0.125
3.786755556E0	0.02	-8.213904089E-2	0.125
3.819777778E0	0.02	-3.266204951E0	0.125
3.852800000E0	0.02	-5.249721419E0	0.125
3.886077778E0	0.02	-7.285435689E0	0.125
3.919044444E0	0.02	-9.425545563E0	0.125
3.952788889E0	0.02	-1.010411699E1	0.125
3.985755556E0	0.02	-1.133076533E1	0.125
4.018722222E0	0.02	-1.200933675E1	0.125
4.051988889E0	0.02	-1.253131477E1	0.125
4.085611111E0	0.02	-1.276620488E1	0.125
4.117666667E0	0.02	-1.284450158E1	0.125
4.150833333E0	0.02	-1.266180927E1	0.125
4.184322222E0	0.02	-1.206153455E1	0.125
4.217266667E0	0.02	-1.127856753E1	0.125
4.250055556E0	0.02	-1.026071039E1	0.125
4.284222222E0	0.02	-9.216754356E0	0.125
4.317144444E0	0.02	-7.807413707E0	0.125
4.349511111E0	0.02	-6.763457671E0	0.125
4.382600000E0	0.02	-5.641204932E0	0.125
4.415688889E0	0.02	-4.414556590E0	0.125
4.449211111E0	0.02	-2.770325834E0	0.125
4.482288889E0	0.02	-1.387084086E0	0.125
4.515533333E0	0.02	4.835546361E-2	0.125
4.548088889E0	0.02	1.222806004E0	0.125
4.581455556E0	0.02	2.318959842E0	0.125
4.614177778E0	0.02	3.258520274E0	0.125
4.647344444E0	0.02	4.067586202E0	0.125
4.680511111E0	0.02	4.876652130E0	0.125
4.713911111E0	0.02	5.450827950E0	0.125
4.747011111E0	0.02	5.842311463E0	0.125
4.779977778E0	0.02	6.181597175E0	0.125
4.812944444E0	0.02	6.338190580E0	0.125
4.846233333E0	0.02	6.338190580E0	0.125
4.879377778E0	0.02	6.181597175E0	0.125
4.914822222E0	0.02	5.972805968E0	0.125
4.946755556E0	0.02	5.476926851E0	0.125
4.978688889E0	0.02	5.137641139E0	0.125
5.011611111E0	0.02	4.354674112E0	0.125
5.044922222E0	0.02	3.676102689E0	0.125
5.077722222E0	0.02	2.919234563E0	0.125
5.111000000E0	0.02	2.031871932E0	0.125
5.145677778E0	0.02	1.222806004E0	0.125
5.177122222E0	0.02	6.747290852E-1	0.125
