t[s]	dt[s]	y[cm]	dy[cm]
3.030444444E0	0.02	1.537965745E1	0.125
3.062466667E0	0.02	1.534350283E1	0.125
3.095922222E0	0.02	1.487226200E1	0.125
3.128300000E0	0.02	1.396757590E1	0.125
3.161311111E0	0.02	1.277488350E1	0.125
3.197388889E0	0.02	1.092976691E1	0.125
3.228144444E0	0.02	9.193114198E0	0.125
3.261111111E0	0.02	7.191431101E0	0.125
3.294077778E0	0.02	4.644826450E0	0.125
3.327044444E0	0.02	2.453339827E0	0.125
3.361066667E0	0.02	-1.269440282E-1	0.125
3.392777778E0	0.02	-2.800954439E0	0.125
3.425966667E0	0.02	-4.413997401E0	0.125
3.459988889E0	0.02	-6.476616052E0	0.125
3.492155556E0	0.02	-7.894163740E0	0.125
3.525344444E0	0.02	-9.633915245E0	0.125
3.559466667E0	0.02	-1.043883114E1	0.125
3.591400000E0	0.02	-1.131517256E1	0.125
3.624755556E0	0.02	-1.227631280E1	0.125
3.657611111E0	0.02	-1.234871529E1	0.125
3.690744444E0	0.02	-1.207606079E1	0.125
3.724788889E0	0.02	-1.124277007E1	0.125
3.756988889E0	0.02	-1.029695703E1	0.125
3.791044444E0	0.02	-9.147635442E0	0.125
3.824077778E0	0.02	-8.028316942E0	0.125
3.856400000E0	0.02	-6.579268638E0	0.125
3.889566667E0	0.02	-4.768859185E0	0.125
3.922733333E0	0.02	-2.974102579E0	0.125
3.955900000E0	0.02	-1.365899056E0	0.125
3.989066667E0	0.02	7.018377085E-1	0.125
4.022133333E0	0.02	2.553018306E0	0.125
4.055322222E0	0.02	4.017719457E0	0.125
4.088822222E0	0.02	5.453394480E0	0.125
4.123000000E0	0.02	6.716866658E0	0.125
4.154366667E0	0.02	7.553771927E0	0.125
4.187511111E0	0.02	8.265007395E0	0.125
4.220922222E0	0.02	8.731324855E0	0.125
4.253822222E0	0.02	8.934271817E0	0.125
4.287588889E0	0.02	8.834179989E0	0.125
4.320144444E0	0.02	8.386315021E0	0.125
