t	T_ag	T_p	T_ai	T_m	s_T	s_t	V	s_V
00	60	26	25	24	0.5	10	0.2	0.05V
0	58	26	27	25
60	57	30	28	30
120	57	32	29	31
180	56	33	29	32
240	55	34	30	33
300	54	34	29	33
360	53	34	29	33
420	53	34	29	33
480	51	34	29	33
540	51	33	29	33
600	51	33	29	33
