t	x	y	v	a	dt[s]	dx[cm]
0.000000000E0	-7.811712097E-3	-2.168921351E-1	0	0	0.016	0.125
3.333300000E-2	-1.955459383E-1	-2.071059465E-1	6.773171592E0	0	0.016	0.125
6.666600000E-2	-4.592914878E-1	-2.095018604E-1	1.045655935E1	1.596493933E2	0.016	0.125
9.999900000E-2	-8.926392581E-1	-2.093666635E-1	1.726830753E1	1.847078534E2	0.016	0.125
1.333320000E-1	-1.605484224E0	-3.168533841E-1	2.303093998E1	1.965411639E2	0.016	0.125
1.666650000E-1	-2.390601039E0	-5.462705463E-1	2.931545250E1	1.830741917E2	0.016	0.125
1.999980000E-1	-3.523205424E0	-6.934243572E-1	3.613551119E1	1.980524104E2	0.016	0.125
2.333310000E-1	-4.756455180E0	-1.000212515E0	4.185715677E1	1.793831330E2	0.016	0.125
2.666640000E-1	-6.242461115E0	-1.319727243E0	4.841943065E1	1.951852173E2	0.016	0.125
2.999970000E-1	-7.914239596E0	-1.669486856E0	5.463470810E1	1.915201382E2	0.016	0.125
3.333300000E-1	-9.803580739E0	-2.084326515E0	6.123024146E1	2.079537470E2	0.016	0.125
3.666630000E-1	-1.192200444E1	-2.444304965E0	6.823760805E1	1.805798719E2	0.016	0.125
3.999960000E-1	-1.428732754E1	-2.852820920E0	7.365045894E1	1.753404265E2	0.016	0.125
4.333290000E-1	-1.674428940E1	-3.368148059E0	7.915736183E1	1.912708773E2	0.016	0.125
4.666620000E-1	-1.945818208E1	-3.906432382E0	8.670412970E1	1.993386222E2	0.016	0.125
4.999950000E-1	-2.241311311E1	-4.497463020E0	9.261875075E1	1.777348565E2	0.016	0.125
5.333280000E-1	-2.549886526E1	-5.185050483E0	9.817120792E1	1.800951068E2	0.016	0.125
5.666610000E-1	-2.882894552E1	-5.789729854E0	1.047077760E2	1.866143745E2	0.016	0.125
5.999940000E-1	-3.236065819E1	-6.466635570E0	1.106321263E2	1.729667834E2	0.016	0.125
6.333270000E-1	-3.606351004E1	-7.224170838E0	1.157328314E2	1.534465216E2	0.016	0.125
6.666600000E-1	-3.989918325E1	-8.109416874E0	1.206870204E2	1.615639592E2	0.016	0.125
6.999930000E-1	-4.393001374E1	-8.912881747E0	1.263666315E2	1.500778137E2	0.016	0.125
7.333260000E-1	-4.816244588E1	-9.749019287E0	1.309334327E2	1.405385122E2	0.016	0.125
7.666590000E-1	-5.247711829E1	-1.068463140E1	1.352687116E2	1.236403598E2	0.016	0.125
7.999920000E-1	-5.698698301E1	-1.160608490E1	1.394803051E2	1.322673694E2	0.016	0.125
8.333250000E-1	-6.157307534E1	-1.261528313E1	1.436595419E2	1.158268982E2	0.016	0.125
8.666580000E-1	-6.635924789E1	-1.357675623E1	1.476266724E2	1.063826835E2	0.016	0.125
8.999910000E-1	-7.121346035E1	-1.459559549E1	1.504533978E2	6.837680190E1	0.016	0.125
9.333240000E-1	-7.617015499E1	-1.566230978E1	1.523615123E2	8.840046696E1	0.016	0.125
9.666570000E-1	-8.114937539E1	-1.670486011E1	1.555854377E2	9.211258083E1	0.016	0.125
9.999900000E-1	-8.630100087E1	-1.788710510E1	1.591871867E2	8.073516263E1	0.016	0.125
1.033323000E0	-9.151096948E1	-1.899829171E1	1.606058668E2	6.129843833E1	0.016	0.125
1.066656000E0	-9.677024891E1	-2.013068243E1	1.627124065E2	2.898264885E2	0.016	0.125
1.099989000E0	-1.020750941E2	-2.146102175E1	1.455547318E2	0	0.016	0.125
1.133322000E0	-1.061462418E2	-2.263061728E1	0	0	0.016	0.125
