t	x	y	v	a	dt[s]	dx[cm]
0.000000000E0	-1.512100122E0	-5.773504230E0	0	0	0.016	0.125
3.333300000E-2	-2.355805096E0	-4.483607266E0	5.052949405E1	0	0.016	0.125
6.666600000E-2	-4.487751167E0	-4.194592652E0	9.027908881E1	1.937350888E3	0.016	0.125
9.999900000E-2	-8.028368709E0	-6.494804625E0	1.628103334E2	2.174500452E3	0.016	0.125
1.333320000E-1	-1.487606529E1	-7.339488811E0	2.363239289E2	2.318457836E3	0.016	0.125
1.666650000E-1	-2.300959184E1	-1.137084441E1	3.112833774E2	2.324864656E3	0.016	0.125
1.999980000E-1	-3.489333973E1	-1.281260131E1	3.912171532E2	2.206509575E3	0.016	0.125
2.333310000E-1	-4.889741370E1	-1.453835507E1	4.557299788E2	2.194641392E3	0.016	0.125
2.666640000E-1	-6.438202329E1	-2.012457221E1	5.319807802E2	2.266666962E3	0.016	0.125
2.999970000E-1	-8.329844134E1	-2.316028639E1	6.072654854E2	2.439784723E3	0.016	0.125
3.333300000E-1	-1.037956370E2	-2.937217404E1	6.895083872E2	2.348358712E3	0.016	0.125
3.666630000E-1	-1.279519246E2	-3.406945775E1	7.658191528E2	2.384283736E3	0.016	0.125
3.999960000E-1	-1.533547175E2	-4.163670131E1	8.428010422E2	2.295285973E3	0.016	0.125
4.333290000E-1	-1.823092559E2	-4.828799202E1	9.221640841E2	2.424486137E3	0.016	0.125
4.666620000E-1	-2.128880868E2	-5.697287892E1	9.987471558E2	2.375636596E3	0.016	0.125
4.999950000E-1	-2.468294361E2	-6.473100610E1	1.082563630E3	2.297431437E3	0.016	0.125
5.333280000E-1	-2.832826736E2	-7.288319138E1	1.151727289E3	2.133455543E3	0.016	0.125
5.666610000E-1	-3.212224820E2	-8.373112648E1	1.220688974E3	2.332000772E3	0.016	0.125
5.999940000E-1	-3.620052262E2	-9.350386134E1	1.306241124E3	2.251082622E3	0.016	0.125
6.333270000E-1	-4.059684826E2	-1.037652873E2	1.375456632E3	2.203218989E3	0.016	0.125
6.666600000E-1	-4.509632633E2	-1.157447970E2	1.444185314E3	2.035190909E3	0.016	0.125
6.999930000E-1	-4.991924055E2	-1.278228159E2	1.517753645E3	1.907746820E3	0.016	0.125
7.333260000E-1	-5.491167181E2	-1.403173566E2	1.568553031E3	1.814648495E3	0.016	0.125
7.666590000E-1	-6.004246359E2	-1.540286169E2	1.635105754E3	1.608855143E3	0.016	0.125
7.999920000E-1	-6.545247600E2	-1.680922384E2	1.683301894E3	1.357314116E3	0.016	0.125
8.333250000E-1	-7.090641984E2	-1.821453436E2	1.717439970E3	1.122308910E3	0.016	0.125
8.666580000E-1	-7.652373257E2	-1.972778374E2	1.762610503E3	1.301973623E3	0.016	0.125
8.999910000E-1	-8.226925344E2	-2.120837197E2	1.801872883E3	1.157545639E3	0.016	0.125
9.333240000E-1	-8.813837770E2	-2.279322819E2	1.840742205E3	1.243421828E3	0.016	0.125
9.666570000E-1	-9.411435676E2	-2.441509034E2	1.882184227E3	2.267599159E2	0.016	0.125
9.999900000E-1	-1.002522079E3	-2.606456348E2	1.864771603E3	1.406070931E4	0.016	0.125
1.033323000E0	-1.061266069E3	-2.761707000E2	1.041952407E3	0	0.016	0.125
1.066656000E0	-1.070082444E3	-2.767911433E2	0	0	0.016	0.125
