t	x	y	v	a	dt[s]	dx[cm]
0.000000000E0	-3.249320416E-1	-5.402854242E-1	0	0	0.016	0.125
3.333300000E-2	-5.847360552E-1	-5.239783327E-1	1.038185707E1	0	0.016	0.125
6.666600000E-2	-9.435796022E-1	-8.506094098E-1	1.994521808E1	3.235745436E2	0.016	0.125
9.999900000E-2	-1.798030830E0	-1.067975149E0	3.237830962E1	3.403911568E2	0.016	0.125
1.333320000E-1	-2.970517081E0	-1.592759349E0	4.286705607E1	2.868134755E2	0.016	0.125
1.666650000E-1	-4.415264694E0	-2.215566439E0	5.126717253E1	2.742738306E2	0.016	0.125
1.999980000E-1	-6.162276322E0	-2.815001053E0	6.055739633E1	3.148689208E2	0.016	0.125
2.333310000E-1	-8.237683767E0	-3.514583510E0	7.121306994E1	3.395612922E2	0.016	0.125
2.666640000E-1	-1.074248025E1	-4.064160075E0	8.307276492E1	4.152228098E2	0.016	0.125
2.999970000E-1	-1.355393859E1	-5.066455582E0	9.810772776E1	4.154921442E2	0.016	0.125
3.333300000E-1	-1.686656982E1	-6.360463672E0	1.112763588E2	3.872851408E2	0.016	0.125
3.666630000E-1	-2.056721214E1	-7.484286610E0	1.228824309E2	3.324429435E2	0.016	0.125
3.999960000E-1	-2.465326774E1	-8.905559454E0	1.341279036E2	3.635529093E2	0.016	0.125
4.333290000E-1	-2.897834527E1	-1.051877252E1	1.461824532E2	3.633067577E2	0.016	0.125
4.666620000E-1	-3.385925723E1	-1.210283444E1	1.590777237E2	3.951539861E2	0.016	0.125
4.999950000E-1	-3.904291284E1	-1.386124267E1	1.717959814E2	3.858410676E2	0.016	0.125
5.333280000E-1	-4.464836295E1	-1.594539635E1	1.851886669E2	3.987111392E2	0.016	0.125
5.666610000E-1	-5.066191762E1	-1.803463469E1	1.978672517E2	3.772813959E2	0.016	0.125
5.999940000E-1	-5.705226899E1	-2.043383438E1	2.105446730E2	3.858109047E2	0.016	0.125
6.333270000E-1	-6.378862408E1	-2.300491422E1	2.231601490E2	3.682243296E2	0.016	0.125
6.666600000E-1	-7.098403313E1	-2.565272928E1	2.353903123E2	3.319882845E2	0.016	0.125
6.999930000E-1	-7.852054887E1	-2.841101333E1	2.452063085E2	3.201067775E2	0.016	0.125
7.333260000E-1	-8.630696219E1	-3.134744277E1	2.562529871E2	3.433237560E2	0.016	0.125
7.666590000E-1	-9.451721519E1	-3.440667105E1	2.685235556E2	1.921786024E2	0.016	0.125
7.999920000E-1	-1.030774817E2	-3.760919084E1	2.702484541E2	2.348703843E3	0.016	0.125
8.333250000E-1	-1.114106803E2	-4.066773409E1	1.295547002E2	0	0.016	0.125
8.666580000E-1	-1.112003758E2	-4.054424154E1	0	0	0.016	0.125
