t	x	y	v	a	dt[s]	dx[cm]
0.000000000E0	-3.048379802E-1	2.719880275E-2	0	0	0.016	0.125
3.333300000E-2	-4.030434644E-1	-7.056193069E-2	5.179353940E0	0	0.016	0.125
6.666600000E-2	-6.178119100E-1	-1.186446073E-1	1.187338841E1	2.173155335E2	0.016	0.125
9.999900000E-2	-1.110583532E0	-4.254429414E-1	2.032318958E1	2.616606357E2	0.016	0.125
1.333320000E-1	-1.897851824E0	-5.626705491E-1	2.854832004E1	2.488684611E2	0.016	0.125
1.666650000E-1	-2.978510645E0	-7.901720327E-1	3.664712220E1	2.657248698E2	0.016	0.125
1.999980000E-1	-4.292379726E0	-1.047497364E0	4.560913176E1	2.862613094E2	0.016	0.125
2.333310000E-1	-5.920238720E0	-1.559166702E0	5.575165593E1	3.054779058E2	0.016	0.125
2.666640000E-1	-7.839471572E0	-2.157585142E0	6.560685557E1	2.741377147E2	0.016	0.125
2.999970000E-1	-1.011008342E1	-2.814101348E0	7.438925123E1	2.900504580E2	0.016	0.125
3.333300000E-1	-1.258120444E1	-3.610158558E0	8.417758089E1	2.647642436E2	0.016	0.125
3.666630000E-1	-1.550934197E1	-4.343843534E0	9.298619484E1	2.798829263E2	0.016	0.125
3.999960000E-1	-1.854540851E1	-5.300155526E0	1.017164075E2	2.886808009E2	0.016	0.125
4.333290000E-1	-2.198065658E1	-6.369775701E0	1.128246895E2	3.171507702E2	0.016	0.125
4.666620000E-1	-2.574237980E1	-7.485934776E0	1.225831305E2	2.902161704E2	0.016	0.125
4.999950000E-1	-2.982356857E1	-8.665944458E0	1.321857084E2	2.812424298E2	0.016	0.125
5.333280000E-1	-3.418091253E1	-1.002515971E1	1.413560036E2	2.744279375E2	0.016	0.125
5.666610000E-1	-3.885090789E1	-1.137003820E1	1.503602465E2	2.612959126E2	0.016	0.125
5.999940000E-1	-4.377059652E1	-1.294352516E1	1.588834465E2	2.632849484E2	0.016	0.125
6.333270000E-1	-4.896592180E1	-1.451321829E1	1.676253050E2	2.426289684E2	0.016	0.125
6.666600000E-1	-5.444625441E1	-1.624638913E1	1.754303646E2	2.440466721E2	0.016	0.125
6.999930000E-1	-6.013500034E1	-1.798169626E1	1.832593935E2	2.146717172E2	0.016	0.125
7.333260000E-1	-6.609224334E1	-1.993829952E1	1.903485891E2	2.216338277E2	0.016	0.125
7.666590000E-1	-7.221713350E1	-2.186145789E1	1.973018499E2	1.759590749E2	0.016	0.125
7.999920000E-1	-7.863343393E1	-2.390421689E1	2.029376700E2	1.968450840E2	0.016	0.125
8.333250000E-1	-8.511080040E1	-2.595881686E1	2.092314156E2	1.845491844E2	0.016	0.125
8.666580000E-1	-9.192130379E1	-2.814645189E1	2.163688234E2	1.574636866E2	0.016	0.125
8.999910000E-1	-9.884084725E1	-3.038040000E1	2.193010271E2	1.423630393E3	0.016	0.125
9.333240000E-1	-1.058487209E2	-3.259270648E1	1.339592218E2	0	0.016	0.125
9.666570000E-1	-1.072970223E2	-3.325222690E1	0	0	0.016	0.125
