t	x	y	v	a	dt[s]	dx[cm]
0.000000000E0	-2.292676647E0	5.076598185E-1	0	0	0.016	0.125
3.333300000E-2	-4.954149198E0	2.317400449E-1	8.202214776E1	0	0.016	0.125
6.666600000E-2	-7.714548824E0	-2.017723243E-1	1.023301757E2	8.392506908E2	0.016	0.125
9.999900000E-2	-1.177215547E1	0.000000000E0	1.396711699E2	1.056321598E3	0.016	0.125
1.333320000E-1	-1.702586491E1	-2.080637044E-1	1.722218239E2	9.572795518E2	0.016	0.125
1.666650000E-1	-2.315417503E1	-1.506917870E0	2.012055582E2	8.591460036E2	0.016	0.125
1.999980000E-1	-3.034170816E1	-1.824285140E0	2.294407997E2	8.720106032E2	0.016	0.125
2.333310000E-1	-3.839651732E1	-2.785811551E0	2.556312340E2	8.227660733E2	0.016	0.125
2.666640000E-1	-4.735350456E1	-2.836975965E0	2.836393885E2	7.345857743E2	0.016	0.125
2.999970000E-1	-5.726771407E1	-3.982526832E0	3.043670264E2	8.752847873E2	0.016	0.125
3.333300000E-1	-6.746435346E1	-5.534323784E0	3.353571765E2	9.227205265E2	0.016	0.125
3.666630000E-1	-7.947640521E1	-6.552736570E0	3.683318486E2	9.067880458E2	0.016	0.125
3.999960000E-1	-9.196872676E1	-7.113588550E0	3.909354652E2	7.046457832E2	0.016	0.125
4.333290000E-1	-1.054476163E2	-8.727465719E0	4.171169437E2	1.023036620E3	0.016	0.125
4.666620000E-1	-1.196476497E2	-9.784784811E0	4.553576393E2	9.635422777E2	0.016	0.125
4.999950000E-1	-1.357546621E2	-1.046604939E1	4.867716433E2	8.711444317E2	0.016	0.125
5.333280000E-1	-1.520202273E2	-1.204117684E1	5.072905455E2	8.756002054E2	0.016	0.125
5.666610000E-1	-1.694469385E2	-1.339135380E1	5.457079701E2	9.365184615E2	0.016	0.125
5.999940000E-1	-1.882800734E2	-1.499755154E1	5.725650625E2	8.552934258E2	0.016	0.125
6.333270000E-1	-2.074792323E2	-1.663805097E1	5.983520858E2	6.915179856E2	0.016	0.125
6.666600000E-1	-2.280414703E2	-1.819484453E1	6.230368194E2	8.018961549E2	0.016	0.125
6.999930000E-1	-2.488713471E2	-2.008479052E1	6.469111362E2	8.697888355E2	0.016	0.125
7.333260000E-1	-2.709772706E2	-2.225110736E1	6.834265091E2	8.955885419E2	0.016	0.125
7.666590000E-1	-2.942818226E2	-2.378908988E1	7.068284208E2	7.546214020E2	0.016	0.125
7.999920000E-1	-3.178652822E2	-2.693543464E1	7.305856430E2	8.831661565E2	0.016	0.125
8.333250000E-1	-3.427607161E2	-2.847903401E1	7.669969198E2	8.779620419E2	0.016	0.125
8.666580000E-1	-3.688421388E2	-3.092348890E1	7.913266051E2	8.422899798E2	0.016	0.125
8.999910000E-1	-3.952298648E2	-3.395937077E1	8.127065887E2	7.376640871E2	0.016	0.125
9.333240000E-1	-4.226734160E2	-3.705984674E1	8.371764121E2	7.389397914E2	0.016	0.125
9.666570000E-1	-4.508679294E2	-3.835210478E1	8.594109734E2	7.115421988E2	0.016	0.125
9.999900000E-1	-4.797462125E2	-4.208380163E1	8.852882017E2	9.176136771E2	0.016	0.125
1.033323000E0	-5.096145236E2	-4.401210201E1	9.167502644E2	9.057309843E2	0.016	0.125
1.066656000E0	-5.406166832E2	-4.755739147E1	9.441786367E2	8.376450652E2	0.016	0.125
1.099989000E0	-5.723174665E2	-4.952256894E1	9.673702000E2	6.384651848E2	0.016	0.125
1.133322000E0	-6.048308380E2	-5.352337338E1	9.881830216E2	5.643584177E2	0.016	0.125
1.166655000E0	-6.377917401E2	-5.680665906E1	1.002833756E3	5.322612916E2	0.016	0.125
1.199988000E0	-6.714601695E2	-5.901080147E1	1.022412798E3	4.964441318E2	0.016	0.125
1.233321000E0	-7.056542301E2	-6.316994680E1	1.036613671E3	4.856029023E2	0.016	0.125
1.266654000E0	-7.402140815E2	-6.598657418E1	1.052560214E3	9.375233432E1	0.016	0.125
1.299987000E0	-7.755736300E2	-6.909476783E1	1.040504403E3	7.159641683E2	0.016	0.125
1.333320000E0	-8.091807919E2	-7.342107491E1	1.081885778E3	6.404722943E2	0.016	0.125
1.366653000E0	-8.474010645E2	-7.563960557E1	1.110509179E3	5.087169338E2	0.016	0.125
1.399986000E0	-8.829439391E2	-7.973879160E1	1.092689176E3	1.759507745E2	0.016	0.125
1.433319000E0	-9.198099062E2	-8.360108893E1	1.120765206E3	8.871664127E2	0.016	0.125
1.466652000E0	-9.573431589E2	-8.662182892E1	1.137318428E3	4.527823336E2	0.016	0.125
1.499985000E0	-9.954214568E2	-8.922577806E1	1.150413180E3	7.640857813E2	0.016	0.125
1.533318000E0	-1.033698941E3	-9.381064419E1	1.101326881E3	8.297120844E3	0.016	0.125
1.566651000E0	-1.068423247E3	-9.706098013E1	6.390021912E2	0	0.016	0.125
1.599984000E0	-1.076158734E3	-9.726058470E1	0	0	0.016	0.125
