t	x	y	v	a	dt[s]	dx[cm]
0.000000000E0	-2.045142596E-1	-2.049626545E-1	0	0	0.016	0.125
3.333300000E-2	-4.269181390E-1	-2.817655589E-1	7.247100614E0	0	0.016	0.125
6.666600000E-2	-6.826427817E-1	-2.743366202E-1	1.205635321E1	1.391390949E2	0.016	0.125
9.999900000E-2	-1.230542159E0	-2.959301993E-1	1.755721291E1	1.610856638E2	0.016	0.125
1.333320000E-1	-1.838329361E0	-4.597727958E-1	2.190095525E1	1.251649029E2	0.016	0.125
1.666650000E-1	-2.669976795E0	-5.404118000E-1	2.642681135E1	1.574922798E2	0.016	0.125
1.999980000E-1	-3.585076455E0	-6.893537958E-1	3.154194712E1	1.364365325E2	0.016	0.125
2.333310000E-1	-4.760984940E0	-7.625593089E-1	3.611459698E1	1.381797073E2	0.016	0.125
2.666640000E-1	-5.989187093E0	-8.192210686E-1	3.962973186E1	1.579718107E2	0.016	0.125
2.999970000E-1	-7.366297959E0	-1.201049920E0	4.619070823E1	1.734059274E2	0.016	0.125
3.333300000E-1	-9.015039350E0	-1.390721750E0	5.152256592E1	1.465427885E2	0.016	0.125
3.666630000E-1	-1.078125718E1	-1.569733720E0	5.553283017E1	1.175748694E2	0.016	0.125
3.999960000E-1	-1.266863934E1	-1.988328671E0	5.937349554E1	1.282603581E2	0.016	0.125
4.333290000E-1	-1.468666640E1	-2.213996310E0	6.375762646E1	1.433394748E2	0.016	0.125
4.666620000E-1	-1.688505781E1	-2.525241942E0	6.905323205E1	1.554501741E2	0.016	0.125
4.999950000E-1	-1.923963611E1	-2.894220198E0	7.403882916E1	1.584945585E2	0.016	0.125
5.333280000E-1	-2.177611456E1	-3.188869841E0	7.941123141E1	1.453745040E2	0.016	0.125
5.666610000E-1	-2.449882035E1	-3.500624198E0	8.389506336E1	1.508936244E2	0.016	0.125
5.999940000E-1	-2.731256275E1	-3.981846579E0	8.838621342E1	1.176438004E2	0.016	0.125
6.333270000E-1	-3.030697237E1	-4.493207249E0	9.197477883E1	1.209902032E2	0.016	0.125
6.666600000E-1	-3.336674311E1	-4.953084675E0	9.569357703E1	1.221739581E2	0.016	0.125
6.999930000E-1	-3.661734400E1	-5.429867452E0	1.002283861E2	1.436026004E2	0.016	0.125
7.333260000E-1	-3.998631155E1	-5.863088494E0	1.048997357E2	1.408556411E2	0.016	0.125
7.666590000E-1	-4.354126011E1	-6.412146599E0	1.096437190E2	1.275150390E2	0.016	0.125
7.999920000E-1	-4.719754957E1	-7.057641070E0	1.131859133E2	9.830123562E1	0.016	0.125
8.333250000E-1	-5.100236081E1	-7.538575393E0	1.162730607E2	9.928167092E1	0.016	0.125
8.666580000E-1	-5.486384043E1	-8.203553171E0	1.196109887E2	1.067999103E2	0.016	0.125
8.999910000E-1	-5.887259930E1	-8.820683672E0	1.235111041E2	9.288046075E1	0.016	0.125
9.333240000E-1	-6.300631301E1	-9.427788633E0	1.257567160E2	6.839670268E1	0.016	0.125
9.666570000E-1	-6.713397303E1	-1.024759757E1	1.276162075E2	8.627858863E1	0.016	0.125
9.999900000E-1	-7.139328590E1	-1.085572420E1	1.308756633E2	1.031254985E2	0.016	0.125
1.033323000E0	-7.577549825E1	-1.145130684E1	1.340011630E2	1.581087416E2	0.016	0.125
1.066656000E0	-8.017347662E1	-1.250268641E1	1.391371430E2	6.954110440E1	0.016	0.125
1.099989000E0	-8.486198403E1	-1.331536103E1	1.395937813E2	1.088598669E2	0.016	0.125
1.133322000E0	-8.936295113E1	-1.397175207E1	1.379877452E2	5.224441311E1	0.016	0.125
1.166655000E0	-9.395768839E1	-1.469065653E1	1.387788310E2	9.552580946E1	0.016	0.125
1.199988000E0	-9.852116893E1	-1.528453414E1	1.431576175E2	2.695893673E1	0.016	0.125
1.233321000E0	-1.033972166E2	-1.609720876E1	1.398423705E2	1.136383052E3	0.016	0.125
1.266654000E0	-1.077419002E2	-1.665982964E1	7.269527451E1	0	0.016	0.125
1.299987000E0	-1.082107509E2	-1.665982964E1	0	0	0.016	0.125
