t	x	y	v	a	dt[s]	dx[cm]
0.000000000E0	3.294220087E0	8.480336176E0	0	0	0.016	0.125
3.333300000E-2	3.468767448E0	8.574975789E0	6.265837890E0	0	0.016	0.125
6.666600000E-2	3.595358673E0	8.769825676E0	6.217852826E0	7.625654450E1	0.016	0.125
9.999900000E-2	3.648658470E0	8.948426634E0	3.650182186E0	9.623429213E1	0.016	0.125
1.333320000E-1	3.565987330E0	9.011389668E0	2.976122136E0	4.907113814E1	0.016	0.125
1.666650000E-1	3.468070825E0	9.030603919E0	3.763097275E0	5.412176815E1	0.016	0.125
1.999980000E-1	3.356512539E0	9.149434557E0	5.867160556E0	7.580980795E1	0.016	0.125
2.333310000E-1	3.279075062E0	9.373052746E0	5.822945471E0	9.253836613E1	0.016	0.125
2.666640000E-1	3.383596732E0	9.536681055E0	4.084602311E0	6.222029699E1	0.016	0.125
2.999970000E-1	3.503946785E0	9.526617813E0	4.482041085E0	5.792954032E1	0.016	0.125
3.333300000E-1	3.625645546E0	9.711877125E0	7.191154236E0	7.425431723E1	0.016	0.125
3.666630000E-1	3.642386504E0	9.985599366E0	5.738053204E0	6.953652413E1	0.016	0.125
3.999960000E-1	3.574627375E0	1.009099279E1	4.740446281E0	1.000802298E1	0.016	0.125
4.333290000E-1	3.487150803E0	1.026087138E1	6.430319247E0	3.705916084E1	0.016	0.125
4.666620000E-1	3.475242855E0	1.050799686E1	5.815954064E0	4.673996543E1	0.016	0.125
4.999950000E-1	3.493498064E0	1.064854582E1	6.659338207E0	5.186843003E1	0.016	0.125
5.333280000E-1	3.557605241E0	1.094424143E1	8.513311835E0	4.529077871E1	0.016	0.125
5.666610000E-1	3.716337843E0	1.117051677E1	7.821439484E0	5.708137751E1	0.016	0.125
5.999940000E-1	3.862056121E0	1.136755306E1	8.232227268E0	1.055800808E2	0.016	0.125
6.333270000E-1	3.714597114E0	1.171932367E1	1.019253829E1	5.138343185E1	0.016	0.125
6.666600000E-1	3.633687066E0	1.200752342E1	8.412721529E0	3.131413174E1	0.016	0.125
6.999930000E-1	3.547144560E0	1.225458431E1	8.973447283E0	4.322142933E1	0.016	0.125
7.333260000E-1	3.519973905E0	1.259484026E1	8.928504459E0	9.082767818E1	0.016	0.125
7.666590000E-1	3.576983376E0	1.284906360E1	9.688792874E0	7.314591082E1	0.016	0.125
7.999920000E-1	3.799513619E0	1.317712991E1	1.271099244E1	5.532954332E1	0.016	0.125
8.333250000E-1	3.940449394E0	1.361454645E1	1.078033781E1	1.356079116E2	0.016	0.125
8.666580000E-1	3.838774256E0	1.389473873E1	1.147753245E1	6.642946195E1	0.016	0.125
8.999910000E-1	3.655774165E0	1.432477997E1	1.273685488E1	6.021356252E1	0.016	0.125
9.333240000E-1	3.579539353E0	1.470331392E1	1.233596947E1	1.543935024E2	0.016	0.125
9.666570000E-1	3.614472487E0	1.514613194E1	2.155414853E1	1.102887612E2	0.016	0.125
9.999900000E-1	3.474025974E0	1.613636364E1	2.174562400E1	1.928588622E2	0.016	0.125
1.033323000E0	3.733766234E0	1.659090909E1	1.223541627E1	5.399743398E1	0.016	0.125
1.066656000E0	4.043091479E0	1.672075095E1	2.094743009E1	1.427017396E2	0.016	0.125
1.099989000E0	3.701298701E0	1.798701299E1	1.860527783E1	7.423819330E1	0.016	0.125
1.133322000E0	3.733786315E0	1.792190550E1	8.204241186E0	1.122704312E2	0.016	0.125
1.166655000E0	3.636319091E0	1.853008327E1	2.077166717E1	2.592823146E2	0.016	0.125
1.199988000E0	3.768242860E0	1.930624072E1	2.440098946E1	1.086815730E2	0.016	0.125
1.233321000E0	3.996832236E0	2.011634819E1	2.520303127E1	6.385363011E1	0.016	0.125
1.266654000E0	4.212453868E0	2.092664164E1	2.708608065E1	1.318064837E2	0.016	0.125
1.299987000E0	4.212806795E0	2.190910641E1	2.914584028E1	2.953227756E2	0.016	0.125
1.333320000E0	4.092395750E0	2.286596555E1	3.953079689E1	1.680794594E2	0.016	0.125
1.366653000E0	3.506493506E0	2.444805195E1	4.346403543E1	1.159299604E2	0.016	0.125
1.399986000E0	3.409090909E0	2.568181818E1	3.947549371E1	2.296991245E2	0.016	0.125
1.433319000E0	3.409090909E0	2.707792208E1	4.008071159E1	6.744079676E1	0.016	0.125
1.466652000E0	3.636363636E0	2.834415584E1	4.012506993E1	6.078135384E1	0.016	0.125
1.499985000E0	3.668831169E0	2.974025974E1	4.432932740E1	2.949736498E2	0.016	0.125
1.533318000E0	3.701298701E0	3.129870130E1	5.662826182E1	3.790281192E2	0.016	0.125
1.566651000E0	3.409090909E0	3.350649351E1	7.123957647E1	3.508799254E2	0.016	0.125
1.599984000E0	3.409090909E0	3.603896104E1	7.938988618E1	2.318622378E2	0.016	0.125
1.633317000E0	3.344155844E0	3.879870130E1	8.522951648E1	1.480617095E2	0.016	0.125
1.666650000E0	3.441558442E0	4.172077922E1	8.870278588E1	1.841035834E2	0.016	0.125
1.699983000E0	3.571428571E0	4.470779221E1	9.644060368E1	5.356527099E2	0.016	0.125
1.733316000E0	3.538961039E0	4.814935065E1	1.232155179E2	9.231644469E2	0.016	0.125
1.766649000E0	3.571428571E0	5.292207792E1	1.602762375E2	1.528680859E2	0.016	0.125
1.799982000E0	3.798701299E0	5.883116883E1	1.269277297E2	0	0.016	0.125
1.833315000E0	4.155844156E0	6.136363636E1	0	0	0.016	0.125
