t	        x	        y	        v	        a
0.000000000E0	3.261289870E0	-9.637660340E0		0	0	
3.333300000E-2	3.153988189E0	-9.456790366E0	7.345283729E0	0	
6.666600000E-2	3.039292990E0	-9.201192062E0	5.140964069E0	9.167345379E1
9.999900000E-2	3.043442163E0	-9.132380560E0	5.747067115E0	6.745666052E1
1.333320000E-1	3.232999287E0	-8.870632665E0	8.207934260E0	5.030861566E1
1.666650000E-1	3.277329053E0	-8.637694823E0	5.222133000E0	9.280596815E1
1.999980000E-1	3.159958177E0	-8.530242354E0	7.734686373E0	5.492196686E0
2.333310000E-1	3.071792945E0	-8.164788766E0	7.342835991E0	1.026055279E2
2.666640000E-1	3.113190676E0	-8.042964007E0	9.045083883E0	4.662931060E1
2.999970000E-1	3.263513154E0	-7.593079196E0	1.069720586E1	3.869000699E1
3.333300000E-1	3.298323102E0	-7.354273555E0	8.474195756E0	4.891024687E1
3.666630000E-1	3.283666335E0	-7.028498039E0	1.219568219E1	4.413010934E1
3.999960000E-1	3.286523869E0	-6.541321829E0	1.222953298E1	1.624195709E1
4.333290000E-1	3.289059669E0	-6.213221833E0	1.008045598E1	2.736844860E0
4.666620000E-1	3.289394424E0	-5.869304282E0	1.245349485E1	6.901333176E1
4.999950000E-1	3.301414959E0	-5.383089085E0	1.517122992E1	6.230188297E1
5.333280000E-1	3.289410375E0	-4.857899069E0	1.635822471E1	2.574529216E1
5.666610000E-1	3.272781641E0	-4.292927641E0	1.695782561E1	6.410085017E1
5.999940000E-1	3.300968371E0	-3.727447751E0	2.001001081E1	4.655605936E1
6.333270000E-1	3.323893818E0	-2.959919810E0	2.116568043E1	5.825241614E1
6.666600000E-1	3.336287396E0	-2.316858598E0	2.235883249E1	5.525053001E1
6.999930000E-1	3.314809147E0	-1.469373568E0	2.579873066E1	1.023697653E2
7.333260000E-1	3.295739225E0	-5.974384657E-1	2.851338917E1	9.067377993E1
7.666590000E-1	3.308730205E0	4.314903147E-1	3.221323939E1	8.480567801E1
7.999920000E-1	3.318008819E0	1.549973882E0	3.412947543E1	1.217189352E2
8.333250000E-1	3.311071083E0	2.706764720E0	3.958356580E1	1.517158363E2
8.666580000E-1	3.300050473E0	4.188790772E0	4.541755153E1	1.965581987E2
8.999910000E-1	3.300631110E0	5.734553212E0	5.145535744E1	1.941796950E2
9.333240000E-1	3.187847669E0	7.617278114E0	5.906180346E1	1.932176289E2
9.666570000E-1	3.053622504E0	9.664211880E0	6.394320681E1	3.335715005E2
9.999900000E-1	3.087178795E0	1.187892710E1	7.864536036E1	4.110269629E2
1.033323000E0	3.324575565E0	1.490017746E1	9.380664012E1	3.661413688E2
1.066656000E0	3.291457933E0	1.812930327E1	1.012750214E2	6.160901282E2
1.099989000E0	3.273117955E0	2.165158194E1	1.300496331E2	1.018026528E3
1.133322000E0	2.684503300E0	2.677792042E1	1.727844604E2	1.127388441E3
1.166655000E0	2.650947009E0	3.315361576E1	2.049132882E2	1.030689163E3
1.199988000E0	2.382496679E0	4.043533096E1	2.391338794E2	0	
1.233321000E0	2.348940388E0	4.909285410E1		0	0
