t	        x	        y	        v	        a
0.000000000E0	-1.390095508E0	1.449428494E0		0	0
3.333300000E-2	-1.511811811E0	1.652770741E0	5.247021611E0	0
6.666600000E-2	-1.429874982E0	1.796957189E0	4.019510913E0	6.686945518E1
9.999900000E-2	-1.298606315E0	1.815092966E0	7.272587358E0	6.127194008E1
1.333320000E-1	-1.241896655E0	2.243867086E0	7.856248401E0	6.152961620E1
1.666650000E-1	-1.302713030E0	2.338821522E0	5.875027097E0	6.424361030E1
1.999980000E-1	-1.329220224E0	2.625672952E0	9.913671090E0	8.742342495E1
2.333310000E-1	-1.539482476E0	2.955859105E0	1.160868216E1	8.310695422E1
2.666640000E-1	-1.554981875E0	3.365915956E0	1.176856528E1	9.824081276E1
2.999970000E-1	-1.375038096E0	3.722994959E0	1.147394989E1	6.417236716E1
3.333300000E-1	-1.301061469E0	4.087463334E0	1.538399999E1	1.274883238E2
3.666630000E-1	-1.270811086E0	4.743274848E0	1.871721306E1	1.463885613E2
3.999960000E-1	-1.390543581E0	5.332052462E0	2.181024206E1	1.102225098E2
4.333290000E-1	-1.620938322E0	6.154491190E0	2.551640947E1	8.214175934E1
4.666620000E-1	-1.866981425E0	6.965046578E0	2.599210362E1	2.605404959E2
4.999950000E-1	-1.889288179E0	7.866375556E0	4.096082969E1	2.507401532E2
5.333280000E-1	-2.453987730E0	9.631901840E0	4.766303367E1	2.039467053E2
5.666610000E-1	-2.515337423E0	1.098159509E1	4.899005427E1	3.132323056E2
5.999940000E-1	-2.760736196E0	1.288343558E1	7.021126491E1	6.314815797E2
6.333270000E-1	-3.374233129E0	1.558282209E1	9.153179983E1	8.571801636E2
6.666600000E-1	-4.110429448E0	1.883435583E1	1.243706305E2	1.324170020E3
6.999930000E-1	-5.153374233E0	2.368098160E1	1.808434929E2	2.903910788E3
7.333260000E-1	-6.380368098E0	3.067484663E1	3.092301947E2	2.073232471E3
7.666590000E-1	-7.914110429E0	4.411042945E1	3.467198895E2	0
7.999920000E-1	-7.852760736E0	5.374233129E1		0	0
