t	        x	        y	        v	        a
0.000000000E0	-3.135064475E0	-2.933088808E0		0	0
3.333300000E-2	-3.120456451E0	-2.923608643E0	1.190099003E0	0
6.666600000E-2	-3.064348788E0	-2.897116725E0	2.442286260E0	3.026615224E1
9.999900000E-2	-2.976967394E0	-2.846664414E0	3.127097416E0	5.581520036E1
1.333320000E-1	-2.919896818E0	-2.746804324E0	4.300429382E0	7.666053831E1
1.666650000E-1	-2.962665963E0	-2.560328919E0	6.912823741E0	7.223945669E1
1.999980000E-1	-2.961195956E0	-2.287808260E0	8.745507223E0	5.992724859E1
2.333310000E-1	-3.064093165E0	-1.986191171E0	1.068870711E1	5.174836838E1
2.666640000E-1	-3.144445897E0	-1.599200798E0	1.186607546E1	6.742923074E1
2.999970000E-1	-3.300690598E0	-1.231337828E0	1.463940689E1	6.541357967E1
3.333300000E-1	-3.429965959E0	-6.659494587E-1	1.704762502E1	1.390949393E2
3.666630000E-1	-3.577674147E0	-1.291103220E-1	2.237056641E1	8.925181501E1
3.999960000E-1	-3.735185751E0	7.938396133E-1	2.505240513E1	2.744993897E2
4.333290000E-1	-3.886714839E0	1.512192097E0	3.687308050E1	1.913937354E2
4.666620000E-1	-4.260355030E0	3.195266272E0	4.336175837E1	2.393753501E2
4.999950000E-1	-4.260355030E0	4.378698225E0	4.629065750E1	2.092517376E2
5.333280000E-1	-4.497041420E0	6.272189349E0	6.059012602E1	7.328927725E2
5.666610000E-1	-4.615384615E0	8.402366864E0	9.074639320E1	1.111408806E3
5.999940000E-1	-4.911242604E0	1.230769231E1	1.387471131E2	1.996932820E3
6.333270000E-1	-5.207100592E0	1.763313609E1	2.177040060E2	4.291876784E3
6.666600000E-1	-6.390532544E0	2.674556213E1	4.179422046E2	0
6.999930000E-1	-7.692307692E0	4.538461538E1		0	0
