t	x	y	v	a	dt[s]	dx[cm]
0.000000000E0	6.717179935E0	-8.917687864E-1	0	0	0.016	0.125
3.333300000E-2	6.718535824E0	-8.902043849E-1	4.616454516E-1	0	0.016	0.125
6.666600000E-2	6.700986684E0	-8.655973476E-1	7.435535397E-1	3.297643837E1	0.016	0.125
9.999900000E-2	6.680551208E0	-8.583558675E-1	2.151551672E0	5.916402527E1	0.016	0.125
1.333320000E-1	6.708493617E0	-7.223585826E-1	4.906030846E0	2.873232443E1	0.016	0.125
1.666650000E-1	6.652573704E0	-5.324892238E-1	4.280213322E0	2.769937400E1	0.016	0.125
1.999980000E-1	6.653939733E0	-4.422773938E-1	2.561621167E0	2.343088519E1	0.016	0.125
2.333310000E-1	6.635033586E0	-3.626193491E-1	2.929073367E0	3.848891920E1	0.016	0.125
2.666640000E-1	6.631259238E0	-2.483294270E-1	5.056248262E0	2.241646569E1	0.016	0.125
2.999970000E-1	6.622156791E0	-2.578554564E-2	5.042743616E0	8.801650762E0	0.016	0.125
3.333300000E-1	6.606246138E0	8.691829014E-2	3.993277839E0	3.107147530E1	0.016	0.125
3.666630000E-1	6.577701492E0	2.366922835E-1	7.138083313E0	3.348032508E1	0.016	0.125
3.999960000E-1	6.570757718E0	5.614606103E-1	7.166062939E0	3.443771063E1	0.016	0.125
4.333290000E-1	6.569495612E0	7.143545551E-1	7.753461632E0	7.859316362E0	0.016	0.125
4.666620000E-1	6.576659964E0	1.078319184E0	8.738015454E0	1.571496256E1	0.016	0.125
4.999950000E-1	6.596039787E0	1.296278008E0	7.271544649E0	3.936690611E0	0.016	0.125
5.333280000E-1	6.637224231E0	1.559285791E0	9.296635829E0	7.224634472E1	0.016	0.125
5.666610000E-1	6.640228832E0	1.914470204E0	1.211968452E1	7.620545233E1	0.016	0.125
5.999940000E-1	6.662900662E0	2.366848591E0	1.442651070E1	3.583843830E1	0.016	0.125
6.333270000E-1	6.663021447E0	2.875957848E0	1.462899644E1	5.867277787E0	0.016	0.125
6.666600000E-1	6.672388436E0	3.342059116E0	1.388423771E1	2.113372576E1	0.016	0.125
6.999930000E-1	6.707241810E0	3.800507533E0	1.580359554E1	1.072775370E2	0.016	0.125
7.333260000E-1	6.689679881E0	4.395479710E0	2.107912287E1	1.004206818E2	0.016	0.125
7.666590000E-1	6.656924065E0	5.204867194E0	2.314417268E1	1.104668707E2	0.016	0.125
7.999920000E-1	6.610492431E0	5.936375726E0	2.661289758E1	1.633031619E2	0.016	0.125
8.333250000E-1	6.428571429E0	6.964285714E0	3.381083741E1	7.393040102E1	0.016	0.125
8.666580000E-1	6.071428571E0	8.125000000E0	3.207490101E1	7.895188067E1	0.016	0.125
8.999910000E-1	6.101190476E0	9.077380952E0	3.442169516E1	1.509934764E2	0.016	0.125
9.333240000E-1	5.952380952E0	1.041666667E1	4.358156032E1	3.075125880E2	0.016	0.125
9.666570000E-1	5.773809524E0	1.196428571E1	5.360357730E1	2.962347599E2	0.016	0.125
9.999900000E-1	5.476190476E0	1.395833333E1	6.428945730E1	3.560595747E2	0.016	0.125
1.033323000E0	5.267857143E0	1.622023810E1	7.622901278E1	4.995737849E2	0.016	0.125
1.066656000E0	5.000000000E0	1.901785714E1	9.746666885E1	7.341203940E2	0.016	0.125
1.099989000E0	4.553571429E0	2.267857143E1	1.256247015E2	1.022012196E3	0.016	0.125
1.133322000E0	4.166666667E0	2.735119048E1	1.645843064E2	1.445313115E3	0.016	0.125
1.166655000E0	3.511904762E0	3.360119048E1	2.218556596E2	1.459563476E3	0.016	0.125
1.199988000E0	2.857142857E0	4.208333333E1	2.658811393E2	0	0.016	0.125
1.233321000E0	2.738095238E0	5.130952381E1	0	0	0.016	0.125
