t	y	v_{x}
3.113504444E1	2.714137670E0	6.458738123E1
3.116824444E1	2.600303627E0	9.124271123E1
3.120167778E1	2.481025454E0	1.173279040E2
3.123433333E1	2.742333688E0	1.035848638E2
3.126756667E1	3.179203337E0	7.470594743E1
3.130200000E1	3.158782744E0	7.763135319E1
3.133460000E1	3.029972237E0	1.026325744E2
3.136746667E1	2.862543046E0	1.098047395E2
3.140008889E1	2.810436375E0	1.012815844E2
3.143307778E1	2.801858984E0	9.515285355E1
3.146594444E1	2.792415017E0	9.003566497E1
3.149954444E1	2.638517996E0	9.082942071E1
3.153314444E1	2.535949438E0	1.034041087E2
3.156588889E1	2.391295893E0	1.093353985E2
3.159913333E1	2.293060213E0	1.007324022E2
3.163187778E1	2.165116283E0	8.985234316E1
3.166522222E1	2.034572624E0	1.012182671E2
3.169777778E1	1.986509973E0	1.079993139E2
3.173092222E1	1.884807991E0	1.013670903E2
3.176451111E1	1.832701320E0	1.048912419E2
3.179721111E1	1.780594648E0	1.154960296E2
3.183062222E1	1.996929308E0	1.098616905E2
3.186388889E1	2.177489687E0	8.308971529E1
3.189715556E1	2.395513315E0	8.332876278E1
3.192967778E1	2.480927092E0	9.396442928E1
3.196282222E1	2.494547629E0	1.007890438E2
