t	y	v_{x}
1.198504444E1	1.459117286E0	8.839876989E1
1.201802222E1	1.303350190E0	1.021130665E2
1.205141111E1	1.285450672E0	1.014017105E2
1.208516667E1	1.264273725E0	8.523477816E1
1.211984444E1	1.467509685E0	7.248352357E1
1.215036667E1	1.464412480E0	6.879799016E1
1.218371111E1	1.428252994E0	8.854013164E1
1.221705556E1	1.312103040E0	1.038400789E2
1.225088889E1	1.425048037E0	9.512685135E1
1.228472222E1	1.469059244E0	9.199548602E1
1.231684444E1	1.610384480E0	7.931881033E1
1.234940000E1	1.540694507E0	7.908759020E1
1.238386667E1	1.483177848E0	9.557850259E1
1.241502222E1	1.494126773E0	9.914025958E1
1.244848889E1	1.404952444E0	9.139994022E1
1.248180000E1	1.512278989E0	8.526963756E1
1.251495556E1	1.417018004E0	7.486273617E1
1.254767778E1	1.379922109E0	7.626129130E1
1.258137778E1	1.320064428E0	8.938281544E1
1.261372222E1	1.328204127E0	8.377697817E1
1.264743333E1	1.296726684E0	7.341091642E1
1.268043333E1	1.262440015E0	7.299955961E1
1.271358889E1	1.297087136E0	8.341042811E1
1.274760000E1	1.139447222E0	9.630284802E1
1.277943333E1	1.117333865E0	9.455212647E1
1.281251111E1	1.124537156E0	9.341373106E1
1.284583333E1	1.237482153E0	9.034149316E1
1.287855556E1	1.341999472E0	8.158050552E1
1.291198889E1	1.413454510E0	8.518434860E1
1.294507778E1	1.421126005E0	9.072274786E1
1.297816667E1	1.363141141E0	9.577532690E1
