t	y	v_{x}
1.512815556E1	1.164212232E0	7.461328772E1
1.516021111E1	1.084746731E0	9.097789309E1
1.519226667E1	1.150819785E0	8.253509317E1
1.522597778E1	1.184251021E0	7.056727534E1
1.525811111E1	1.191991487E0	7.055980879E1
1.529116667E1	1.177351208E0	7.999120456E1
1.532450000E1	1.218726499E0	8.260748059E1
1.535716667E1	1.253481744E0	8.709601525E1
1.539064444E1	1.251750556E0	9.034355648E1
1.542434444E1	1.290808831E0	7.534473729E1
1.545922222E1	1.371318575E0	7.699499887E1
1.549238889E1	1.340255591E0	8.365396712E1
1.552696667E1	1.331904356E0	8.923409478E1
1.555803333E1	1.232375125E0	9.302014052E1
1.558966667E1	1.342216664E0	8.354230112E1
1.562356667E1	1.379950930E0	8.529922955E1
1.565718889E1	1.470059742E0	8.599426066E1
1.569081111E1	1.555534520E0	7.749373668E1
1.572662222E1	1.568902027E0	8.042254360E1
1.575595556E1	1.604981281E0	8.787533303E1
1.579003333E1	1.528163798E0	8.397042555E1
1.582176667E1	1.468762027E0	7.833174100E1
1.585817778E1	1.294477504E0	8.402241621E1
1.588895556E1	1.286788274E0	9.099150444E1
1.592203333E1	1.185935034E0	8.212080816E1
1.595682222E1	1.174935780E0	7.665619034E1
1.599193333E1	1.189627295E0	8.808279024E1
1.602062222E1	1.134859556E0	8.429087089E1
1.605832222E1	1.149220069E0	8.127629423E1
1.608917778E1	1.117826083E0	8.421273137E1
1.612373333E1	1.089749910E0	7.609763411E1
1.616081111E1	1.128683650E0	8.851016843E1
1.618506667E1	1.165552721E0	9.442568472E1
