t	y	v_{x}
1.259981111E1	2.393906121E0	1.225224724E2
1.263323333E1	2.232877564E0	1.207596828E2
1.266632222E1	2.252333291E0	1.202720941E2
1.269923333E1	2.419752370E0	1.013941258E2
1.273275556E1	2.724153815E0	8.449355848E1
1.276584444E1	2.818112273E0	1.013375558E2
1.279868889E1	2.745861727E0	1.042570920E2
1.283165556E1	2.842016382E0	8.271358018E1
1.286462222E1	2.722603591E0	8.755909013E1
1.289981111E1	2.435517664E0	1.102247225E2
1.293125556E1	2.422818491E0	1.084447593E2
1.296583333E1	2.552958210E0	8.595512643E1
1.299782222E1	2.522689462E0	8.639329075E1
1.303036667E1	2.381370690E0	9.985033719E1
1.306357778E1	2.213387510E0	1.095321854E2
1.309714444E1	2.111178261E0	9.848406250E1
1.312960000E1	2.202940522E0	9.744497176E1
1.316293333E1	2.219467987E0	9.860693118E1
1.319765556E1	2.284931873E0	8.830483955E1
1.322943333E1	2.261251716E0	1.004082258E2
1.326270000E1	2.364727027E0	9.889345504E1
1.329547778E1	2.311088167E0	1.065194243E2
1.332825556E1	2.240301752E0	1.181140070E2
1.336194444E1	2.287153953E0	1.065263739E2
1.339435556E1	2.236443355E0	1.004008965E2
1.342851111E1	2.159068350E0	1.060631330E2
