t[s]	y[cm]	v_{x}[cm/s]
2.484838889E1	8.979121836E-1	4.284164363E1
2.488068889E1	7.652801407E-1	8.307216320E1
2.491387778E1	6.196176795E-1	1.363671124E2
2.494721111E1	7.692674318E-1	1.301876659E2
2.498084444E1	8.961752105E-1	6.038353292E1
2.501314444E1	1.129782917E0	3.641502129E1
2.504686667E1	1.067512343E0	3.392250850E1
2.508038889E1	1.049452450E0	1.890676622E1
2.511315556E1	1.028331137E0	4.842599314E1
2.514616667E1	7.264199681E-1	9.730350090E1
2.517962222E1	7.840596423E-1	1.232162540E2
2.521225556E1	8.476034827E-1	9.321155002E1
2.524572222E1	1.163599663E0	4.760011692E1
2.527853333E1	1.150787918E0	5.459059324E1
2.531181111E1	1.245203397E0	7.181190279E1
2.534483333E1	1.167278331E0	8.253648249E1
2.537798889E1	1.342988920E0	8.801213658E1
2.541060000E1	1.217791753E0	6.970410554E1
2.544487778E1	1.183202676E0	7.502476380E1
2.547706667E1	1.236250221E0	8.506252942E1
2.551147778E1	9.820484980E-1	7.492969738E1
2.554396667E1	1.129640244E0	7.170711142E1
2.557645556E1	1.173066185E0	5.505739461E1
2.560951111E1	1.111014283E0	4.868603661E1
2.564288889E1	9.757581664E-1	6.147893071E1
2.567557778E1	8.708076210E-1	7.319197218E1
2.570897778E1	8.926749033E-1	9.214120623E1
2.574194444E1	7.988766718E-1	9.175257324E1
2.577508889E1	7.200769141E-1	6.502647651E1
2.580823333E1	7.613161266E-1	5.481708665E1
2.584137778E1	7.016696262E-1	7.034280577E1
2.587415556E1	6.263686337E-1	9.085043409E1
2.590813333E1	6.543587550E-1	9.258970209E1
2.594154444E1	6.557607430E-1	8.737154132E1
2.597381111E1	6.793774078E-1	6.935732537E1
