t	y	v_{x}
1.232548889E1	2.766029252E0	9.187256940E1
1.235844444E1	2.765644870E0	9.166858416E1
1.239213333E1	2.761669077E0	8.649345036E1
1.242546667E1	2.899233752E0	7.556336447E1
1.246128889E1	2.751451342E0	8.402952584E1
1.249092222E1	2.483014306E0	9.115321634E1
1.252810000E1	2.355455105E0	8.924223126E1
1.255731111E1	2.217784300E0	1.094162015E2
1.259041111E1	2.291900691E0	1.001752894E2
1.262351111E1	2.359625016E0	7.327355170E1
1.265673333E1	2.324117272E0	6.821916744E1
1.269038889E1	2.332775485E0	7.441435732E1
1.272554444E1	2.171824563E0	8.938976755E1
1.275583333E1	2.046659638E0	1.007428310E2
1.278881111E1	2.056386861E0	9.532517966E1
1.282273333E1	2.004653697E0	9.279393522E1
1.285491111E1	2.050829549E0	8.821130762E1
1.288820000E1	2.188394224E0	6.927984260E1
1.292148889E1	2.046062996E0	6.919489313E1
1.295460000E1	1.816468863E0	9.608625171E1
1.298720000E1	1.712724284E0	1.254465751E2
1.302152222E1	1.896592938E0	1.156661909E2
1.305378889E1	2.170246899E0	9.072411294E1
1.308690000E1	2.268968671E0	9.022195978E1
