t	y	v_{x}
1.331203333E1	2.236713626E0	1.049848811E2
1.334457778E1	2.340451359E0	9.508354270E1
1.338048889E1	2.451195778E0	1.031764683E2
1.341192222E1	2.492823737E0	8.772313836E1
1.344815556E1	2.624937330E0	8.444494081E1
1.347623333E1	2.592915091E0	1.003936251E2
1.351035556E1	2.397581338E0	1.188640749E2
1.354267778E1	2.352020928E0	1.272536784E2
1.357636667E1	2.466474769E0	1.100336203E2
1.360825556E1	2.710094053E0	9.381177616E1
1.364140000E1	2.945882335E0	8.693663136E1
1.367417778E1	3.083766140E0	9.848159654E1
1.370784444E1	3.093308818E0	1.089057718E2
1.374074444E1	3.442251424E0	1.000078925E2
1.377390000E1	3.646366582E0	7.692149132E1
1.380693333E1	3.706890767E0	7.563179862E1
1.383996667E1	3.370026830E0	9.104258460E1
1.387336667E1	2.971053119E0	1.087538982E2
1.390642222E1	2.783550367E0	1.114224549E2
1.393971111E1	2.690242671E0	9.774989697E1
1.397236667E1	2.626135151E0	1.050292301E2
1.400557778E1	2.572331581E0	1.094246194E2
1.403866667E1	2.546079555E0	1.069320727E2
1.407151111E1	2.658472606E0	1.114830246E2
1.410521111E1	2.872891714E0	1.064830825E2
1.413834444E1	2.846639688E0	1.041920532E2
