t	y	v_{x}
1.477966667E1	1.673320777E0	9.489733759E1
1.481195556E1	1.677083602E0	8.993983314E1
1.484610000E1	1.747678156E0	8.299091446E1
1.487966667E1	1.770552062E0	9.132969255E1
1.491323333E1	1.734541953E0	7.415547881E1
1.494496667E1	1.812810635E0	6.325691855E1
1.498061111E1	2.082737295E0	7.641619672E1
1.501211111E1	1.879801841E0	9.255900023E1
1.504760000E1	1.781418476E0	1.105919713E2
1.507758889E1	1.942995853E0	9.673650720E1
1.511348889E1	1.970328232E0	9.071660173E1
1.515006667E1	2.000374465E0	9.547459385E1
1.517654444E1	1.956222796E0	9.183861828E1
1.520958889E1	1.803721843E0	8.876913699E1
1.524263333E1	1.718634159E0	9.309584076E1
1.527832222E1	1.681848663E0	8.775620821E1
1.531045556E1	1.903860828E0	8.575192731E1
1.534304444E1	2.085712366E0	9.575379954E1
1.538004444E1	2.006440082E0	1.112721334E2
1.540892222E1	2.127469137E0	9.964307979E1
1.544533333E1	2.374213937E0	8.198814286E1
1.547555556E1	2.308431180E0	8.552490364E1
1.550840000E1	2.160883476E0	9.823778329E1
1.554238889E1	1.969819411E0	1.053821550E2
1.557417778E1	1.997011790E0	9.550259633E1
1.560816667E1	1.999711743E0	9.982403272E1
1.564011111E1	1.954732078E0	9.741905607E1
1.567316667E1	1.980184145E0	7.447911623E1
1.571810000E1	1.955563665E0	9.212964667E1
