t	y	v_{x}
1.255993333E1	3.008602295E0	8.468182669E1
1.259242222E1	3.104011038E0	8.526378475E1
1.262575556E1	3.202003676E0	7.373553566E1
1.265977778E1	3.015308430E0	7.688491277E1
1.269198889E1	2.759474032E0	9.398440317E1
1.272527778E1	2.641892410E0	9.280787895E1
1.275831111E1	2.494006635E0	9.712522311E1
1.279134444E1	2.470782662E0	9.210111537E1
1.282494444E1	2.629383605E0	8.681729523E1
1.285741111E1	2.649624109E0	8.718954182E1
1.289038889E1	2.638376176E0	7.972419451E1
1.292396667E1	2.517026375E0	8.570240777E1
1.295717778E1	2.292788076E0	1.019946872E2
1.298976667E1	2.132064964E0	9.640549265E1
1.302325556E1	2.152197806E0	8.495057650E1
1.305621111E1	2.125205654E0	9.504324190E1
1.308945556E1	2.196124007E0	1.007573707E2
1.312247778E1	2.248929571E0	1.034541928E2
1.315550000E1	2.105027300E0	9.306957953E1
1.318893333E1	2.137889818E0	8.207224384E1
1.322183333E1	2.081347150E0	9.913448132E1
1.325490000E1	2.044747528E0	9.211196313E1
1.328813333E1	2.093138940E0	8.996415296E1
1.332175556E1	2.040472113E0	1.036304076E2
1.335985556E1	2.206717076E0	9.919697520E1
