t	y	v_{x}
9.335877778E0	2.188939807E0	1.079583305E2
9.368922222E0	2.153330316E0	7.906755535E1
9.402577778E0	2.392915291E0	6.588098270E1
9.435055556E0	2.444075342E0	6.701558537E1
9.472366667E0	2.212598008E0	8.933603196E1
9.501566667E0	2.116844959E0	1.282132312E2
9.534477778E0	1.903010101E0	1.272660783E2
9.567588889E0	2.190171499E0	8.717714498E1
9.601488889E0	2.175123391E0	6.740623404E1
9.633688889E0	2.039512501E0	7.879030061E1
9.666844444E0	2.156880712E0	9.448721450E1
9.700222222E0	2.031193715E0	1.205652731E2
9.733166667E0	1.721216750E0	1.231992874E2
9.767922222E0	1.946029280E0	9.129679368E1
9.802677778E0	2.124092377E0	8.541283798E1
9.834088889E0	2.311252377E0	9.432079152E1
9.865944444E0	2.492072111E0	7.840313191E1
9.898544444E0	2.418534426E0	9.243912360E1
9.931577778E0	2.292296101E0	1.135960387E2
9.966411111E0	2.264680857E0	1.108988592E2
9.997944444E0	2.356525740E0	1.023290438E2
1.003091111E1	2.511822146E0	9.170274597E1
1.006442222E1	2.441316761E0	7.571536042E1
1.009726667E1	2.366125094E0	8.123215764E1
