t[s]	y[cm]	v_{x}[cm/s]
1.808896667E1	1.276652956E0	8.456053501E1
1.812253333E1	1.233092495E0	7.566611809E1
1.815530000E1	1.320454727E0	7.175532584E1
1.818843333E1	1.184723881E0	6.206493238E1
1.822176667E1	1.087549798E0	5.941471127E1
1.825484444E1	9.726616826E-1	7.007865995E1
1.829340000E1	1.041723251E0	7.206518764E1
1.832106667E1	1.059126633E0	7.265783497E1
1.835385556E1	9.904214822E-1	7.508524871E1
1.838731111E1	1.147351476E0	7.418541274E1
1.842028889E1	1.167883557E0	8.189733075E1
1.845352222E1	1.194673033E0	8.326509209E1
1.848675556E1	1.238589911E0	7.735483470E1
1.852015556E1	1.150019747E0	7.599506426E1
1.855338889E1	1.305189849E0	7.902153325E1
1.858678889E1	1.218379578E0	7.871753975E1
1.862002222E1	1.126876260E0	8.722892388E1
1.865203333E1	1.290454737E0	8.872458895E1
1.868566667E1	1.356974238E0	7.494581500E1
1.871870000E1	1.378875124E0	7.653686612E1
1.875125556E1	1.311147691E0	7.024390119E1
1.878890000E1	1.242638084E0	8.319086908E1
1.881753333E1	1.179994785E0	9.673930603E1
1.885075556E1	1.160405753E0	8.065365540E1
1.888364444E1	1.316162485E0	6.827223559E1
1.891706667E1	1.087870167E0	7.882086630E1
1.894991111E1	1.092839194E0	8.750360626E1
1.898338889E1	1.138515964E0	6.654795188E1
1.901623333E1	1.198582526E0	6.265081787E1
1.904956667E1	1.085063216E0	7.742052977E1
1.908253333E1	1.041698299E0	8.327672735E1
1.911550000E1	1.020936005E0	7.738691499E1
1.914884444E1	1.041663629E0	8.158390671E1
1.918470000E1	1.182248396E0	8.867646604E1
1.921453333E1	1.182133289E0	7.547003849E1
