t	y	v_{x}
1.268453333E1	2.589756391E0	1.094836017E2
1.271668889E1	2.630971447E0	9.941650143E1
1.275000000E1	2.837967971E0	9.335097558E1
1.278384444E1	3.146164407E0	9.071325896E1
1.281613333E1	3.349863726E0	8.432293308E1
1.284898889E1	3.651877904E0	6.807582083E1
1.288301111E1	3.506703965E0	7.597879805E1
1.291741111E1	3.411749353E0	9.651739910E1
1.294908889E1	3.415933901E0	9.190475274E1
1.298134444E1	2.977463988E0	9.474626070E1
1.301470000E1	2.715903608E0	9.656198246E1
1.304776667E1	2.684706249E0	9.007059182E1
1.308176667E1	2.587278733E0	1.035732983E2
1.311358889E1	2.498094229E0	1.093071113E2
1.314722222E1	2.404788219E0	9.251522854E1
1.318106667E1	2.405675563E0	1.054976270E2
1.321311111E1	2.321024715E0	1.059719866E2
1.324856667E1	2.358118265E0	1.075922251E2
1.327953333E1	2.813200285E0	1.030473773E2
1.331233333E1	3.011953797E0	7.869450100E1
1.334594444E1	3.079483448E0	8.778045346E1
1.337881111E1	3.116989149E0	8.931020150E1
1.341206667E1	2.982943275E0	9.258596772E1
1.344481111E1	2.786788751E0	9.867837570E1
1.347857778E1	2.869792552E0	9.650116629E1
1.351101111E1	2.907670334E0	9.707189716E1
