t[s]	y[cm]	v_{x}[cm/s]
1.635831111E1	1.319972295E0	7.378920145E1
1.639158889E1	1.193957422E0	5.289776878E1
1.642452222E1	1.026338360E0	7.457375194E1
1.645782222E1	7.833082932E-1	1.114042611E2
1.649138889E1	7.809262234E-1	9.543597970E1
1.652384444E1	9.051489100E-1	8.114835321E1
1.655712222E1	1.092810968E0	7.141429319E1
1.659040000E1	1.052934521E0	7.370680813E1
1.662347778E1	9.731397171E-1	8.432897271E1
1.665635556E1	1.076033288E0	8.112352436E1
1.668981111E1	1.106171912E0	7.702706479E1
1.672360000E1	1.184174530E0	7.302660205E1
1.675582222E1	1.232354420E0	6.808913790E1
1.678947778E1	1.194121897E0	7.089057452E1
1.682261111E1	1.043490059E0	8.302431908E1
1.685515556E1	9.691750054E-1	1.088952495E2
1.688831111E1	1.063616873E0	9.805555911E1
1.692146667E1	1.138331641E0	7.503116371E1
1.695435556E1	1.169018240E0	7.739538864E1
1.698782222E1	1.178649711E0	7.919036330E1
1.702063333E1	1.143431051E0	7.870745318E1
1.705393333E1	1.174939613E0	7.334799910E1
1.708696667E1	1.270161534E0	6.815593861E1
1.712106667E1	1.163557864E0	7.539562318E1
1.715336667E1	8.827594326E-1	8.548820582E1
1.718642222E1	9.626799629E-1	9.191931834E1
1.721922222E1	1.068861384E0	8.475294452E1
1.725282222E1	1.121151086E0	6.905586699E1
1.728612222E1	1.102877742E0	6.891610100E1
1.731987778E1	1.043042116E0	8.482615441E1
1.735330000E1	9.706449744E-1	1.130993344E2
