t[s]	y[cm]	v_{x}[cm/s]
1.940863333E1	1.106882017E0	6.697376027E1
1.944166667E1	1.153051798E0	5.405737869E1
1.947451111E1	1.088535535E0	6.523630290E1
1.950735556E1	1.058827910E0	8.402628055E1
1.954106667E1	1.035820446E0	8.738158126E1
1.957388889E1	1.119711980E0	7.644338895E1
1.960800000E1	1.256324734E0	6.522913056E1
1.964041111E1	1.192973716E0	7.651447089E1
1.967313333E1	8.912119605E-1	9.144429285E1
1.970646667E1	8.667479401E-1	8.890578056E1
1.973947778E1	8.417012969E-1	9.329981430E1
1.977265556E1	9.314190573E-1	8.994219929E1
1.980720000E1	9.889499807E-1	8.021217014E1
1.983921111E1	1.209888169E0	7.025900062E1
1.987367778E1	1.288244787E0	7.659559494E1
1.990457778E1	1.290141377E0	7.462138167E1
1.993781111E1	1.227081670E0	6.364821687E1
1.997147778E1	1.139991844E0	6.966839555E1
2.000413333E1	9.972676839E-1	8.642520344E1
2.003782222E1	8.661959774E-1	1.085306474E2
2.007080000E1	7.948369634E-1	9.825153587E1
2.010377778E1	1.045340187E0	7.229194101E1
2.013695556E1	1.039662682E0	5.786906973E1
2.017013333E1	9.742724841E-1	7.233737973E1
2.020273333E1	9.503910863E-1	9.238515888E1
2.023578889E1	8.986925217E-1	8.190634363E1
2.026896667E1	9.515624637E-1	6.357734920E1
2.030272222E1	9.988974902E-1	6.795296119E1
2.033487778E1	9.706464224E-1	8.080931637E1
2.036847778E1	9.989036222E-1	7.325542559E1
