t[s]	y[cm]	v_{x}[cm/s]
1.863403333E1	7.541107081E-1	9.292884236E1
1.866728889E1	7.679509106E-1	7.211322257E1
1.870134444E1	8.462641893E-1	5.278575659E1
1.873331111E1	8.232608726E-1	5.909293771E1
1.876666667E1	7.181231030E-1	7.880751324E1
1.879951111E1	6.820653907E-1	8.423533641E1
1.883273333E1	6.297584416E-1	7.400194511E1
1.886595556E1	6.876307475E-1	6.987732127E1
1.889917778E1	6.578286677E-1	8.036191900E1
1.893194444E1	6.841161923E-1	7.995112209E1
1.896706667E1	6.180584074E-1	8.019915385E1
1.899816667E1	6.918477527E-1	7.597131105E1
1.903183333E1	6.919109591E-1	6.989918995E1
1.906467778E1	6.443768214E-1	8.929627560E1
1.909768889E1	7.608392201E-1	9.156632235E1
1.913042222E1	8.906064696E-1	6.483066838E1
1.916394444E1	8.863673127E-1	5.593201921E1
1.919683333E1	9.934567058E-1	5.291514796E1
1.923045556E1	1.145992261E0	4.708910505E1
1.926331111E1	1.116117573E0	7.555232169E1
1.929711111E1	9.665429891E-1	8.902819636E1
1.932926667E1	8.709081643E-1	6.239564254E1
1.936270000E1	8.046221944E-1	6.733158757E1
1.939561111E1	8.110741729E-1	8.116290441E1
1.942868889E1	8.118349563E-1	6.622924023E1
1.946154444E1	9.282359775E-1	6.734835773E1
1.949530000E1	8.312214690E-1	7.169217728E1
1.952854444E1	8.318097920E-1	6.910203490E1
1.956165556E1	8.119462622E-1	6.787146202E1
1.959493333E1	8.513687652E-1	7.801745568E1
1.962777778E1	8.112256260E-1	7.764259011E1
1.966351111E1	7.657770200E-1	7.300801801E1
1.969342222E1	7.421245782E-1	8.049887608E1
1.972662222E1	7.657426963E-1	7.468793282E1
