t	y	v_{x}
1.116557778E1	1.841543146E0	8.941821256E1
1.120040000E1	1.857482262E0	7.409564687E1
1.123192222E1	1.749019126E0	9.244746053E1
1.126558889E1	1.645869029E0	1.231276672E2
1.129786667E1	1.520307402E0	1.176565488E2
1.133163333E1	1.446431511E0	9.566874059E1
1.136483333E1	1.374769386E0	1.127225865E2
1.139775556E1	1.244780226E0	1.061961512E2
1.143082222E1	1.423693617E0	9.173251374E1
1.146550000E1	1.383298087E0	9.990864184E1
1.150414444E1	1.379703568E0	1.136568840E2
1.153022222E1	1.498076158E0	1.041129347E2
1.156352222E1	1.613128099E0	9.002891915E1
1.159643333E1	1.603113658E0	8.582955790E1
1.162965556E1	1.621045163E0	8.431402162E1
1.166301111E1	1.515459924E0	8.145510421E1
1.169546667E1	1.404783023E0	9.856518385E1
1.172865556E1	1.338655313E0	1.347343169E2
1.176184444E1	1.276955136E0	1.223382022E2
1.179552222E1	1.490898524E0	8.281100416E1
1.182844444E1	1.632568151E0	7.156749973E1
1.186153333E1	1.587302336E0	1.027116180E2
1.189390000E1	1.584371947E0	1.222667016E2
1.192792222E1	1.707393446E0	1.066471773E2
1.196107778E1	1.919787198E0	9.406153259E1
