t	y	v_{x}
1.156702222E1	1.472205200E0	1.368699163E2
1.160084444E1	1.317090715E0	1.126567859E2
1.163272222E1	1.435760607E0	9.492393370E1
1.166586667E1	1.519377784E0	9.820551125E1
1.169901111E1	1.684466542E0	9.406277842E1
1.173237778E1	1.764983860E0	7.952531434E1
1.176544444E1	1.960475542E0	6.301344166E1
1.179813333E1	1.857900616E0	7.595692973E1
1.183173333E1	1.768241770E0	9.974686374E1
1.186471111E1	1.769870725E0	1.019622876E2
1.189768889E1	1.723530884E0	1.118998110E2
1.193085556E1	1.733426131E0	9.562876224E1
1.196402222E1	1.758741649E0	6.202970913E1
1.199698889E1	1.741254804E0	6.902880993E1
1.203023333E1	1.518539081E0	1.148398618E2
1.206404444E1	1.454712397E0	1.731187804E2
1.209643333E1	1.573977957E0	1.555630529E2
1.212925556E1	1.916992527E0	9.046666825E1
1.216276667E1	1.943341331E0	6.571664338E1
1.219550000E1	2.139349657E0	6.689890688E1
1.222851111E1	1.954786508E0	8.642569486E1
1.226208889E1	1.871327380E0	1.089762720E2
1.229491111E1	1.620275305E0	1.269350443E2
1.232842222E1	1.551282188E0	1.261507393E2
1.236128889E1	1.637999225E0	1.016614678E2
