t	y	v_{x}
1.100622222E1	1.733726795E0	1.002086806E2
1.103812222E1	1.762820687E0	9.325375969E1
1.107093333E1	1.684661591E0	8.204716650E1
1.110618889E1	1.793240122E0	7.634945123E1
1.113710000E1	1.681435122E0	1.081055949E2
1.117062222E1	1.276815016E0	1.341809067E2
1.120466667E1	1.579922028E0	1.062259572E2
1.123715556E1	1.743743381E0	6.605866545E1
1.126964444E1	1.737134225E0	8.191265465E1
1.130330000E1	1.604026185E0	1.200933610E2
1.133580000E1	1.511617113E0	1.170862030E2
1.136991111E1	1.882159778E0	8.034520052E1
1.140350000E1	2.017625026E0	7.075341210E1
1.143576667E1	1.818694566E0	7.837092213E1
1.146835556E1	1.734070161E0	1.098148973E2
1.150200000E1	1.389688797E0	1.136631021E2
1.153455556E1	1.448020428E0	8.897018724E1
1.156791111E1	1.535295919E0	8.150281323E1
1.160066667E1	1.476382719E0	9.111483162E1
1.163383333E1	1.485936838E0	8.334501525E1
1.166700000E1	1.506214399E0	7.157060834E1
1.170048889E1	1.535896047E0	1.113384336E2
1.173355556E1	1.415424747E0	1.201114963E2
1.176662222E1	1.450690071E0	9.792829546E1
1.180002222E1	1.623915511E0	9.029804649E1
