t[s]	y[cm]	v_{x}[cm/s]
2.586097778E1	6.798638383E-1	1.126982726E2
2.589273333E1	7.179925113E-1	6.926962466E1
2.592592222E1	7.067095015E-1	5.689041094E1
2.595896667E1	7.077925478E-1	7.630952399E1
2.599188889E1	6.557379357E-1	7.614864851E1
2.602581111E1	6.575079852E-1	7.644361275E1
2.605848889E1	5.211096146E-1	8.536141829E1
2.609137778E1	5.571772782E-1	9.353223740E1
2.612493333E1	4.845651143E-1	7.864432894E1
2.615752222E1	5.644958942E-1	7.040338023E1
2.619040000E1	6.814723008E-1	7.983275388E1
2.622407778E1	6.575322749E-1	8.995119028E1
2.625697778E1	7.265235465E-1	9.183766749E1
2.628987778E1	8.719580409E-1	7.512444585E1
2.632320000E1	8.997816671E-1	5.689476920E1
2.635610000E1	8.898726635E-1	5.864109103E1
2.638934444E1	1.031528641E0	6.084483652E1
2.642308889E1	9.959095619E-1	9.591804412E1
2.645534444E1	7.152122849E-1	1.151838804E2
2.649144444E1	9.796316535E-1	7.668332645E1
2.652424444E1	9.484780949E-1	6.198109563E1
2.655585556E1	1.028408875E0	7.245677376E1
2.658865556E1	1.005499354E0	9.205841836E1
2.662122222E1	1.017574450E0	8.430619450E1
2.665435556E1	1.045054574E0	7.132674943E1
2.668785556E1	9.631678685E-1	6.891169379E1
2.672091111E1	7.917848805E-1	7.335017248E1
2.675460000E1	7.136766917E-1	9.297733357E1
2.678865556E1	7.843854711E-1	8.889720794E1
2.682102222E1	7.295828466E-1	8.841078245E1
