t	y	v_{x}
1.188553333E1	1.996886698E0	7.622457868E1
1.191803333E1	1.781776144E0	9.886749685E1
1.195136667E1	1.613781613E0	1.033796239E2
1.198446667E1	1.572741613E0	9.291766356E1
1.201721111E1	1.629017042E0	1.035153238E2
1.205034444E1	1.759193473E0	1.127919801E2
1.208411111E1	1.908244213E0	1.014251550E2
1.211701111E1	2.149230835E0	7.851479276E1
1.215005556E1	2.219912127E0	5.389445499E1
1.218244444E1	2.173850807E0	7.225123626E1
1.221645556E1	1.729915972E0	1.084310989E2
1.224905556E1	1.590577949E0	1.287681053E2
1.228235556E1	1.761607045E0	1.260447660E2
1.231526667E1	1.979466835E0	8.907998680E1
1.234852222E1	2.050725158E0	7.486277238E1
1.238261111E1	2.042216434E0	8.475613301E1
1.241548889E1	2.035246458E0	1.022504165E2
1.244836667E1	1.923843855E0	1.121210654E2
1.248086667E1	1.838453238E0	1.067083104E2
1.251394444E1	2.000249844E0	8.847419773E1
1.254812222E1	1.962651639E0	8.750619697E1
1.258070000E1	1.930823739E0	9.956431540E1
1.261315556E1	1.925200168E0	9.017658941E1
1.264638889E1	1.944626864E0	7.499985732E1
