t[s]	y[cm]	v_{x}[cm/s]
1.611923333E1	1.405344348E0	6.094592209E1
1.615226667E1	1.317092843E0	6.419347630E1
1.618520000E1	1.250669450E0	7.894810213E1
1.621847778E1	1.205922148E0	8.311359861E1
1.625143333E1	1.263868094E0	7.981889724E1
1.628458889E1	1.391340333E0	7.245671329E1
1.631801111E1	1.445333802E0	8.314654147E1
1.635100000E1	1.456949729E0	9.399533416E1
1.638415556E1	1.673800134E0	7.782410017E1
1.641701111E1	1.675990924E0	7.650919474E1
1.645042222E1	1.613520007E0	8.057681444E1
1.648383333E1	1.531349237E0	8.530289227E1
1.651742222E1	1.471766669E0	9.115970559E1
1.654975556E1	1.618634725E0	8.343875651E1
1.658337778E1	1.628476226E0	7.984240359E1
1.661593333E1	1.853231414E0	6.461180128E1
1.664915556E1	1.882833355E0	6.649339365E1
1.668222222E1	1.814101839E0	8.309756416E1
1.671528889E1	1.682486010E0	8.217325742E1
1.674854444E1	1.504722618E0	8.334587829E1
1.678180000E1	1.327365496E0	8.111971805E1
1.681550000E1	1.536602740E0	6.928914801E1
1.684920000E1	1.461235496E0	7.064054846E1
1.688120000E1	1.437432735E0	6.789063452E1
1.691617778E1	1.454360616E0	7.018524594E1
1.694752222E1	1.540131424E0	7.874693937E1
1.698080000E1	1.622922926E0	7.040890983E1
1.701362222E1	1.735937777E0	6.711935368E1
1.704644444E1	1.785526622E0	6.584969062E1
1.708031111E1	1.789780443E0	7.571063342E1
1.711287778E1	1.612152474E0	8.114473758E1
1.714651111E1	1.541795882E0	7.708296661E1
1.717852222E1	1.516638891E0	7.443680567E1
