t	y	v_{x}
1.284533333E1	2.420912634E0	6.102603436E1
1.287665556E1	2.617958962E0	7.384776367E1
1.291015556E1	2.022102804E0	1.061018709E2
1.294433333E1	1.988276246E0	1.124064764E2
1.297595556E1	1.929297904E0	9.520195517E1
1.300880000E1	1.915954643E0	6.826010795E1
1.304327778E1	1.843520077E0	6.956861203E1
1.307530000E1	1.566230272E0	9.095630570E1
1.310837778E1	1.515402586E0	1.149709836E2
1.314163333E1	1.464574900E0	1.168534544E2
1.317460000E1	1.442758641E0	1.054888052E2
1.320806667E1	1.553767559E0	1.079690702E2
1.324103333E1	1.925879320E0	1.069898516E2
