t	y	v_{x}
1.861178889E1	1.183234366E0	9.132105826E1
1.864471111E1	1.219329107E0	8.569139651E1
1.867752222E1	1.304518926E0	7.676409185E1
1.871128889E1	1.262459209E0	6.890748716E1
1.874411111E1	1.293264204E0	7.619832791E1
1.877743333E1	1.257116556E0	8.597922675E1
1.881075556E1	1.249405967E0	8.273378295E1
1.884324444E1	1.209524380E0	8.732066372E1
1.887611111E1	1.157697298E0	9.187185172E1
1.890897778E1	1.169711243E0	8.811270698E1
1.894330000E1	1.116328354E0	8.646604134E1
1.897551111E1	1.197473072E0	8.096364970E1
1.900906667E1	1.162258909E0	7.952083231E1
1.904277778E1	1.196175520E0	8.252745687E1
1.907676667E1	1.140303338E0	9.153470255E1
1.910771111E1	1.178887372E0	9.013015576E1
1.914190000E1	1.264699514E0	8.597488476E1
1.917434444E1	1.230107674E0	8.880861613E1
1.920747778E1	1.317164463E0	8.284485151E1
1.924061111E1	1.373294900E0	8.451088987E1
1.927358889E1	1.295208891E0	8.687102253E1
1.930712222E1	1.306289351E0	8.062370753E1
1.934168889E1	1.390856847E0	8.459619695E1
1.937316667E1	1.284333780E0	8.292908086E1
1.940648889E1	1.318561552E0	8.060593070E1
1.943981111E1	1.354656293E0	8.605739176E1
1.947223333E1	1.345078735E0	8.368394349E1
1.950600000E1	1.379617668E0	8.405902799E1
1.953954444E1	1.347826283E0	8.792408200E1
1.957197778E1	1.360462551E0	8.869965093E1
1.960547778E1	1.353063123E0	8.931693410E1
