t[s]	y[cm]	v_{x}[cm/s]
2.143127778E1	1.145215588E0	5.973111770E1
2.146511111E1	9.851650184E-1	5.737258855E1
2.149722222E1	9.509461120E-1	8.338257753E1
2.153056667E1	8.761273647E-1	9.413929850E1
2.156696667E1	8.535101572E-1	8.080159063E1
2.159776667E1	7.944956720E-1	6.543733301E1
2.163046667E1	8.139285176E-1	6.761890432E1
2.166290000E1	7.852204182E-1	8.625083996E1
2.169600000E1	6.515291543E-1	8.370001430E1
2.172910000E1	6.770528919E-1	8.956836804E1
2.176277778E1	8.249623422E-1	8.726191325E1
2.179541111E1	9.315437928E-1	5.917547531E1
2.182875556E1	9.489463411E-1	5.454991298E1
2.186346667E1	8.596254703E-1	7.382023847E1
2.189481111E1	8.338177955E-1	8.240038990E1
2.192833333E1	9.432996709E-1	7.018073883E1
2.196268889E1	8.837051007E-1	6.692471931E1
2.199457778E1	7.958344422E-1	8.991904751E1
2.202800000E1	8.344100910E-1	1.005468066E2
2.206014444E1	7.817765403E-1	9.766404072E1
2.209323333E1	8.180318493E-1	8.228118482E1
2.212644444E1	9.220029177E-1	6.938198743E1
2.216030000E1	8.390629812E-1	7.535206463E1
2.219258889E1	1.084994577E0	7.603376648E1
2.222586667E1	8.912706262E-1	7.821747212E1
2.225883333E1	9.176644912E-1	7.099905970E1
2.229180000E1	8.848957971E-1	8.141789961E1
2.232516667E1	9.742227733E-1	8.650647466E1
2.236031111E1	9.746608896E-1	8.093695802E1
2.239155556E1	1.002795009E0	7.801628765E1
2.242457778E1	9.440705668E-1	7.211897243E1
2.245803333E1	7.760123226E-1	9.987726378E1
