t	x	y	v	a	dt[s]	dx[cm]
0.000000000E0	-3.546099291E-2	0.000000000E0	0	0	0.016	0.125
3.333300000E-2	-3.311232920E-1	1.631148200E-2	1.079810056E1	0	0.016	0.125
6.666600000E-2	-7.545554325E-1	3.332405797E-2	1.660070836E1	1.879362187E2	0.016	0.125
9.999900000E-2	-1.436866062E0	6.239907211E-2	2.368029653E1	2.656423348E2	0.016	0.125
1.333320000E-1	-2.333211497E0	4.010979622E-2	3.367841155E1	3.154710017E2	0.016	0.125
1.666650000E-1	-3.682013178E0	4.627924426E-2	4.547539406E1	3.335310588E2	0.016	0.125
1.999980000E-1	-5.364856453E0	5.045875424E-2	5.563490133E1	2.877750088E2	0.016	0.125
2.333310000E-1	-7.390958746E0	5.521491361E-2	6.483588727E1	2.702813612E2	0.016	0.125
2.666640000E-1	-9.687204914E0	5.308750470E-2	7.342581093E1	2.988910721E2	0.016	0.125
2.999970000E-1	-1.228591227E1	7.768724082E-2	8.440431013E1	3.402622841E2	0.016	0.125
3.333300000E-1	-1.531114683E1	2.354482611E-1	9.606378822E1	3.362809059E2	0.016	0.125
3.666630000E-1	-1.867666389E1	4.923246129E-1	1.065853305E2	3.565235483E2	0.016	0.125
3.999960000E-1	-2.240881799E1	5.714040411E-1	1.193187721E2	3.853441403E2	0.016	0.125
4.333290000E-1	-2.662919719E1	6.694348069E-1	1.326256929E2	4.047014357E2	0.016	0.125
4.666620000E-1	-3.124664459E1	8.305248660E-1	1.457777916E2	3.914343217E2	0.016	0.125
4.999950000E-1	-3.633795556E1	1.102727054E0	1.590379904E2	3.768358715E2	0.016	0.125
5.333280000E-1	-4.184268205E1	1.198548651E0	1.707768304E2	3.704059701E2	0.016	0.125
5.666610000E-1	-4.771857674E1	1.418753343E0	1.832041600E2	3.803336986E2	0.016	0.125
5.999940000E-1	-5.405358539E1	1.449829119E0	1.963454781E2	4.041649106E2	0.016	0.125
6.333270000E-1	-6.080700269E1	1.591632468E0	2.099175080E2	3.872710515E2	0.016	0.125
6.666600000E-1	-6.804516792E1	1.728659418E0	2.225436527E2	4.057418575E2	0.016	0.125
6.999930000E-1	-7.564068111E1	1.859408493E0	2.362642348E2	3.911532162E2	0.016	0.125
7.333260000E-1	-8.379299095E1	2.034440546E0	2.495070160E2	3.374961475E2	0.016	0.125
7.666590000E-1	-9.226932168E1	2.266982972E0	2.583709057E2	3.418625290E2	0.016	0.125
7.999920000E-1	-1.010148905E2	2.336872203E0	2.712426496E2	0	0.016	0.125
8.333250000E-1	-1.103512962E2	2.424712584E0	0	0	0.016	0.125
