t	x	y	v	a	dt[s]	dx[cm]
0.000000000E0	-3.311258278E-2	-7.105427358E-15	0	0	0.016	0.125
3.333300000E-2	-4.074209807E-1	-1.464362590E-2	1.577727085E1	0	0.016	0.125
6.666600000E-2	-1.084866203E0	1.064989914E-2	2.523235669E1	2.539631743E2	0.016	0.125
9.999900000E-2	-2.089323564E0	1.363460958E-2	3.304307632E1	2.521122252E2	0.016	0.125
1.333320000E-1	-3.287699436E0	1.917413212E-2	4.139325428E1	2.550427078E2	0.016	0.125
1.666650000E-1	-4.848429293E0	6.160388128E-2	5.062255183E1	2.838581460E2	0.016	0.125
1.999980000E-1	-6.661150178E0	1.147023887E-1	5.981553041E1	2.909393080E2	0.016	0.125
2.333310000E-1	-8.833353193E0	2.093568464E-1	7.026023568E1	2.939545476E2	0.016	0.125
2.666640000E-1	-1.133896485E1	3.547320992E-1	7.944240704E1	2.973728466E2	0.016	0.125
2.999970000E-1	-1.412762206E1	3.488987141E-1	8.961142614E1	3.107839780E2	0.016	0.125
3.333300000E-1	-1.731232401E1	4.446128609E-1	1.005255723E2	2.997587644E2	0.016	0.125
3.666630000E-1	-2.082767356E1	4.947036151E-1	1.095601159E2	2.946979865E2	0.016	0.125
3.999960000E-1	-2.461514629E1	5.720828767E-1	1.196663030E2	3.222167051E2	0.016	0.125
4.333290000E-1	-2.879909365E1	8.105205538E-1	1.312810783E2	3.339545584E2	0.016	0.125
4.666620000E-1	-3.335958820E1	9.353542072E-1	1.419245847E2	3.023038539E2	0.016	0.125
4.999950000E-1	-3.825741676E1	1.057392347E0	1.511764044E2	3.093960225E2	0.016	0.125
5.333280000E-1	-4.343607101E1	1.128104667E0	1.618480063E2	3.382970699E2	0.016	0.125
5.666610000E-1	-4.904706109E1	1.107178268E0	1.741283592E2	3.312339551E2	0.016	0.125
5.999940000E-1	-5.504393227E1	1.244138798E0	1.839808383E2	2.782865498E2	0.016	0.125
6.333270000E-1	-6.130920156E1	1.384080778E0	1.923737777E2	2.772533099E2	0.016	0.125
6.666600000E-1	-6.786795331E1	1.384600839E0	2.022805892E2	3.054582149E2	0.016	0.125
6.999930000E-1	-7.479377460E1	1.517973875E0	2.129535943E2	3.006294293E2	0.016	0.125
7.333260000E-1	-8.206334221E1	1.582214137E0	2.223894431E2	2.773051420E2	0.016	0.125
7.666590000E-1	-8.961929602E1	1.611213898E0	2.311499008E2	2.626764226E2	0.016	0.125
7.999920000E-1	-9.747308215E1	1.637548142E0	2.399345809E2	2.012112880E2	0.016	0.125
8.333250000E-1	-1.056146696E2	1.669212617E0	2.449217965E2	1.556044901E3	0.016	0.125
8.666580000E-1	-1.138000782E2	1.814647846E0	1.497983245E2	0	0.016	0.125
8.999910000E-1	-1.155905756E2	2.128108601E0	0	0	0.016	0.125
