f[Hz]	df[Hz]	Vout[V]	dV_out[V]	Vin[V]	dV_in[V]	T[mus]	dT[mus]
101.4	0.05	5.84	0.2262	5.84	0.2262	20	0.5
252.5	0.05	6.00	0.231	6.16	0.2358	64	0.5
505.1	0.05	6.00	0.231	6.16	0.2358	76	0.5
708.2	0.05	5.84	0.2262	6.16	0.2358	80	0.5
1.002E3	0.5	5.68	0.2214	6.16	0.2358	58	0.5
1.524E3	0.5	5.44	0.2142	6.24	0.2382	56	0.5
2.037E3	0.5	5.04	0.2022	6.16	0.2358	52	0.5
2.525E3	0.5	4.72	0.1926	6.16	0.2358	43.2	0.05
3.509E3	0.5	4.16	0.1758	6.16	0.2358	42.4	0.05
4.016E3	0.5	3.84	0.1662	6.16	0.2358	39.2	0.05
4.717E3	0.5	3.52	0.1566	6.16	0.2358	36	0.5
6.083E3	0.5	2.88	0.1374	6.16	0.2358	31.2	0.05
10.20E3	5	1.92	0.1086	6.16	0.2358	22.8	0.05
13.02E3	5	1.6	0.099	6.16	0.2358	18.4	0.05
20.92E3	5	1.00	0.081	6.16	0.2358	11.2	0.05
50.38E3	5	416E-3	0.0635	6.00	0.231	5	0.5
