f[Hz]	df[Hz]	Vout[V]	dV_out[V]	Vin[V]	dV_in[V]	T[mus]	dT[mus]
246.3	0.05	440E-3	0.0792	6.04	0.2322	960	0.5
510.2	0.05	928E-3	0.0788	6.00	0.231	440	0.5
704.2	0.05	1.257	0.0887	6.00	0.231	304	0.5
1000.4	0.05	1.74	0.1032	6.08	0.2334	200	0.5
1.502E3	0.5	2.44	0.1242	6.08	0.2334	120	0.5
2.016E3	0.5	3.06	0.1428	6.08	0.2334	88	0.5
2.500E3	0.5	3.52	0.1566	6.16	0.2358	64	0.5
3.003E3	0.5	3.92	0.1686	6.16	0.2358	48	0.5
3.509E3	0.5	4.20	0.177	6.16	0.2358	38	0.5
6.098E3	0.5	5.20	0.207	6.16	0.2358	14	0.5
10.35E3	5	5.76	0.2238	6.16	0.2358	5.6	0.05
13.09E3	5	5.76	0.2238	6.16	0.2358	4.0	0.05
20.08E3	5	5.92	0.2286	6.16	0.2358	1.6	0.05
