f[Hz]	df[Hz]	Vi[mV]	dV_i[mV]	Vo[mV]	dV_o[mV]
11.17	0.005	160	5.8	12.6	1.378
25.33	0.005	164	5.92	19.2	1.576
50.49	0.005	172	6.16	37.6	2.128
75.19	0.005	176	6.28	42.8	2.284
101.2	0.05	176	6.28	54.4	2.632
250.2	0.05	172	6.16	116	4.48
504.0	0.05	172	6.16	214	7.42
752.6	0.05	172	6.16	288	9.64
993.0	0.05	172	6.16	348	11.44
2.488E3	0.5	172	6.16	468	15.04
4.966E3	0.5	172	6.16	504	16.12
7.491E3	0.5	172	6.16	508	16.24
10.42E3	5	172	6.16	508	16.24
25.00E3	5	164	5.92	512	16.36
50.20E3	5	164	5.92	504	16.12
76.34E3	5	164	5.92	484	15.52
100.4E3	50	168	6.04	476	15.28
252.5E3	50	164	5.92	348	11.44
500.0E3	50	164	5.92	204	7.12
722.8E3	50	160	5.8	140	5.2
1.000E6	500	168	6.04	96.0	3.88
2.500E6	500	164	5.92	29.6	1.888
4.928E6	500	156	5.68	11.4	1.342
6.098E6	500	156	5.68	10.4	1.312
