zcm	dzcm	ma	dma	Wpx	dWpx
25.0	0.2	0.338	0.01	177.4	42.8
26.3	0.2	0.244	0.01	88.4	27.1
28.9	0.2	0.137	0.01	116.2	45.8
31.2	0.2	0.105	0.01	71.8	28.7
34.8	0.2	0.015	0.01	646.4	275.4
40.2	0.2	0.012	0.01	1520.8	715.9
42.3	0.2	0.010	0.01	1734.1	829.4
44.6	0.2	0.009	0.01	1750.3	841.4
49.3	0.2	0.006	0.01	2711.1	1309.6
