V1[mV]	V2[mV]	sV1[mV]	sV2[mV]
0.4	1561	0.05	0.5
0.5	1631	0.05	0.5
13.9	1604	0.05	0.5
25.4	1685	0.05	0.5
37.2	1698	0.05	0.5
99.8	1708	0.05	0.5
56.6	1713	0.05	0.5
70.2	1720	0.05	0.5
91.8	1730	0.05	0.5
115.3	1738	0.05	0.5
140.8	1746	0.05	0.5
169.9	1753	0.05	0.5
217	1764	0.5	0.5
321	1781	0.5	0.5
413	1793	0.5	0.5
537	1807	0.5	0.5
655	1820	0.5	0.5
916	1840	0.5	0.5
1191	1855	0.5	0.5
1481	1870	0.5	0.5
