V1[mV]	V2[mV]	sV1[mV]	sV2[mV]
32.1	2756	0.05	0.5
43.1	2777	0.05	0.5
50.8	2789	0.05	0.5
60.8	2802	0.05	0.5
80.3	2823	0.05	0.5
100.0	2841	0.05	0.5
121.9	2856	0.05	0.5
148.1	2872	0.05	0.5
191.4	2896	0.05	0.5
218	2904	0.5	0.5
296	2940	0.5	0.5
389	2970	0.5	0.5
540	3012	0.5	0.5
687	3045	0.5	0.5
759	3052	0.5	0.5
1105	3123	0.5	0.5
