V1[mV]	V2[mV]	sV1[mV]	sV2[mV]
0.5	819	0.05	0.5
3.2	897	0.05	0.5
10.8	953	0.05	0.5
17.3	976	0.05	0.5
22.8	989	0.05	0.5
31.6	1004	0.05	0.5
51.8	1026	0.05	0.5
66.1	1039	0.05	0.5
71.8	1043	0.05	0.5
89.3	1052	0.05	0.5
100.7	1057	0.05	0.5
118.2	1063	0.05	0.5
144.7	1073	0.05	0.5
193.4	1083	0.05	0.5
222	1082	0.5	0.5
250	1092	0.5	0.5
333	1104	0.5	0.5
434	1113	0.5	0.5
602	1126	0.5	0.5
706	1133	0.5	0.5
828	1135	0.5	0.5
1206	1155	0.5	0.5
1908	1161	0.5	0.5
6150	1243	5	0.5
6730	1247	5	0.5
