V1[mV]	V2[mV]	sV1[mV]	sV2[mV]
3.4	2489	0.05	0.5
9.1	2554	0.05	0.5
15.0	2589	0.05	0.5
23.6	2621	0.05	0.5
30.0	2642	0.05	0.5
40.0	2666	0.05	0.5
50.8	2683	0.05	0.5
62.2	2700	0.05	0.5
69.6	2709	0.05	0.5
75.1	2720	0.05	0.5
91.4	2733	0.05	0.5
103.1	2743	0.05	0.5
121.8	2758	0.05	0.5
143.4	2775	0.05	0.5
168.5	2788	0.05	0.5
